"","peak_id","Feature","mz","ret","int","group_id","family_id","adducts","connected_to","keep_rep","status"
"1645","2054","11457","173.1179","5.051","4,188.6","14","14_1_F1","2M+H; M+H","[11452]; [11452]","true","keep_rep"
"1646","2056","11452","190.1443","5.052","162.0","14","14_1_F1","2M+NH4; M+NH4","[11457]; [11457]","false","filtered"
"1627","1742","9466","509.2521","4.174","62,750.7","13","13_1_F1","2M+ACN+Na; 2M+Na; M+2Na; M+2Na-H; M+3Na; M+ACN+Na; M+H+NH4; M+H+Na; M+Na","[9480]; [9480, 9495, 9527]; [9480, 9484, 9485]; [9416, 9480]; [9480]; [9480]; [9425]; [9484]; [9480, 9484, 9485, 9495, 9527]","true","keep_rep"
"1628","1749","9495","525.2260","4.178","26,980.5","13","13_1_F1","2M+ACN+Na; 2M+K; 2M+Na; M+2K-H; M+2Na; M+2Na-H; M+3Na; M+ACN+Na; M+CH3OH+H; M+H+K; M+K; M+Na","[9416]; [9466, 9480, 9527]; [9416]; [9480]; [9416]; [9416]; [9416]; [9416]; [9354]; [9485]; [9466, 9480, 9484, 9485, 9527]; [9416]","false","filtered"
"1629","1745","9480","487.2693","4.176","4,426.8","13","13_1_F1","2M+ACN+H; 2M+H; 2M+Na; M+2H; M+3H; M+ACN+2H; M+ACN+H; M+H; M+H+K; M+H+Na; M+K; M+Na","[9466]; [9466, 9495, 9527]; [9416]; [9466, 9484, 9485]; [9466]; [9484]; [9466]; [9466, 9484, 9485, 9495, 9527]; [9485]; [9484]; [9495]; [9416, 9466]","false","filtered"
"1630","1746","9484","995.5147","4.176","3,519.2","13","13_1_F1","2M+Na; M+2Na-H; M+ACN+Na; M+H; M+Na","[9466, 9480, 9485, 9495, 9527]; [9480]; [9480]; [9466]; [9466, 9480, 9485]","false","filtered"
"1631","1741","9407","287.1261","4.164","872.5","13","13_1_F1","2M+Na; M+Na","[9406]; [9406]","false","filtered"
"1632","1739","9425","521.2580","4.153","815.8","13","13_1_F1","2M+ACN+H; 2M+H; M+2H; M+3H; M+ACN+2H; M+ACN+H; M+H; M+K; M+Na","[9418]; [9408, 9418]; [9418]; [9418]; [9466]; [9418]; [9408, 9418]; [9408]; [9418]","false","filtered"
"1633","1747","9485","1,011.4880","4.176","715.2","13","13_1_F1","2M+K; M+2K-H; M+2Na-H; M+H; M+K","[9466, 9480, 9484, 9495, 9527]; [9480]; [9416]; [9495]; [9466, 9480, 9484]","false","filtered"
"1634","1738","9418","543.2399","4.151","572.2","13","13_1_F1","2M+ACN+Na; 2M+Na; M+2Na; M+2Na-H; M+3Na; M+ACN+Na; M+Na","[9425]; [9408, 9425]; [9425]; [9425]; [9425]; [9425]; [9408, 9425]","false","filtered"
"1635","1731","9239","580.2767","4.140","323.3","13","13_1_F1","2M+ACN+Na; 2M+NH4; M+NH4","[9406]; [9362, 9405]; [9362, 9405]","false","filtered"
"1636","1723","9362","601.2065","4.139","244.8","13","13_1_F1","2M+K; M+2K-H; M+K","[9239, 9405]; [9405]; [9239, 9405]","false","filtered"
"1637","1733","9405","563.2509","4.145","211.4","13","13_1_F1","2M+H; M+; M+2ACN+H; M+H; M+IsoProp+H; M+K","[9239, 9362]; [9430]; [9408]; [9239, 9362]; [9430]; [9362]","false","filtered"
"1638","1737","9416","503.2467","4.151","210.0","13","13_1_F1","2M+ACN+H; 2M+H; 2M+K; M+2H; M+3H; M+ACN+H; M+H; M+H+K; M+K; M+Na","[9495]; [9495]; [9480]; [9495]; [9495]; [9495]; [9495]; [9485]; [9466, 9480]; [9495]","false","filtered"
"1639","1740","9430","586.2349","4.155","150.7","13","13_1_F1","2M+3H2O+2H; M+IsoProp+Na+H; M+Na","[9408]; [9405]; [9405]","false","filtered"
"1640","1722","9354","165.0686","4.138","148.0","13","13_1_F1","M+3H; M+DMSO+H","[9495]; [9355]","false","filtered"
"1641","1736","9408","559.2142","4.149","142.6","13","13_1_F1","2M+H; 2M+K; M+2K-H; M+DMSO+H; M+K","[9430]; [9418, 9425]; [9425]; [9405]; [9418, 9425]","false","filtered"
"1642","1735","9406","303.0998","4.147","134.9","13","13_1_F1","2M+K; M+2Na-H; M+K","[9407]; [9239]; [9407]","false","filtered"
"1643","1721","9355","200.1086","4.137","120.7","13","13_1_F1","2M+3H2O+2H","[9354]","false","filtered"
"1644","1750","9527","504.2960","4.192","3,200.9","13","","2M+NH4; M+NH4","[9466, 9480, 9495]; [9466, 9480, 9484, 9485, 9495]","false","kept (no corr-family)"
"1625","1142","5656","574.2727","2.586","8,218.9","12","12_2_F1","2M+NH4; M+NH4","[5657]; [5657]","true","keep_rep"
"1626","1143","5657","579.2290","2.586","833.2","12","12_2_F1","2M+Na; M+; M+Na","[5656]; [5560]; [5656]","false","filtered"
"1620","1116","5525","574.2725","2.528","16,505.2","12","12_1_F1","2M+NH4; M+NH4","[5509, 5526]; [5509, 5526]","true","keep_rep"
"1621","1123","5605","189.1303","2.544","5,900.6","12","12_1_F1","2M+NH4; M+NH4","[5560]; [5560]","false","filtered"
"1622","1117","5526","579.2276","2.528","1,777.1","12","12_1_F1","2M+Na; M+; M+Na","[5509, 5525]; [5560]; [5509, 5525]","false","filtered"
"1623","1132","5560","194.0814","2.570","974.2","12","12_1_F1","2M+Na; M+3H; M+Na","[5605]; [5526, 5657]; [5605]","false","filtered"
"1624","1111","5509","595.2012","2.526","224.4","12","12_1_F1","2M+K; M+K","[5525, 5526]; [5525, 5526]","false","filtered"
"1609","1713","9284","335.1844","4.100","17,244.7","11","11_7_F1","2M+Na; M+IsoProp+Na+H; M+Na","[9289]; [9227, 9233, 9235]; [9289]","true","keep_rep"
"1610","1717","9289","351.1588","4.108","1,294.7","11","11_7_F1","2M+K; M+K","[9284]; [9284]","false","filtered"
"1607","1697","9203","551.2318","4.048","12,510.9","11","11_6_F4","2M+H; M+2ACN+H; M+H","[9205]; [9133]; [9205]","true","keep_rep"
"1608","1698","9205","568.2599","4.048","6,043.0","11","11_6_F4","2M+NH4; M+NH4","[9203]; [9203]","false","filtered"
"1604","1707","9233","525.2474","4.060","1,301.2","11","11_6_F3","2M+ACN+Na; 2M+Na; M+2Na; M+2Na-H; M+3Na; M+ACN+Na; M+Na","[9235]; [9227, 9235, 9284]; [9235]; [9235]; [9235]; [9235]; [9227, 9235]","true","keep_rep"
