"","Feature","mz","rt","intensity","iso_group","status","shift"
"2982","2982","694.1222","8.294","655,268.0","361","filtered","C13*1 (z=1)"
"2983","2983","695.1239","8.294","138,154.8","361","filtered","none"
"2975","2975","685.7746","16.047","4,848,245.9","360","keep_rep","C13*1 (z=2); C13*1 (z=1)"
"2977","2977","686.2761","16.041","754,740.5","360","filtered","C13*1 (z=2)"
"2978","2978","686.7768","16.047","424,183.7","360","filtered","none"
"2966","2966","671.4172","1.364","746,385.9","359","keep_rep","C13*1 (z=1)"
"2967","2967","672.4202","1.362","294,896.9","359","filtered","none"
"2959","2959","665.7785","16.050","6,193,776.3","358","keep_rep","C13*1 (z=2); C13*1 (z=1)"
"2961","2961","666.2801","16.044","975,948.8","358","filtered","C13*1 (z=2)"
"2963","2963","666.7803","16.044","547,230.8","358","filtered","none"
"2957","2957","664.1177","8.180","1,887,031.0","357","keep_rep","C13*1 (z=1)"
"2958","2958","665.1208","8.180","469,589.7","357","filtered","C13*1 (z=1)"
"2960","2960","666.1228","8.180","103,128.0","357","filtered","none"
"2955","2955","662.1019","8.386","4,136,879.8","356","keep_rep","C13*1 (z=1)"
"2956","2956","663.1049","8.386","980,630.7","356","filtered","none"
"2950","2950","655.4218","1.364","3,228,115.5","355","keep_rep","C13*1 (z=1)"
"2951","2951","656.4253","1.364","1,383,276.3","355","filtered","C13*1 (z=1)"
"2953","2953","657.4279","1.364","306,683.2","355","filtered","none"
"2946","2946","653.3012","1.344","781,543.3","354","keep_rep","C13*1 (z=1)"
"2948","2948","654.3048","1.344","258,775.5","354","filtered","none"
"2945","2945","653.1397","8.432","2,396,964.3","353","keep_rep","C13*1 (z=1)"
"2947","2947","654.1424","8.432","567,443.5","353","filtered","none"
"2930","2930","635.1425","8.521","1,424,854.5","352","keep_rep","C13*1 (z=1)"
"2931","2931","636.1457","8.521","336,971.9","352","filtered","none"
"2926","2926","632.7926","16.050","6,954,531.1","351","keep_rep","C13*1 (z=2); C13*1 (z=1)"
"2927","2927","633.2942","16.050","1,004,594.5","351","filtered","C13*1 (z=2)"
"2928","2928","633.7947","16.050","585,527.8","351","filtered","none"
"2919","2919","628.0566","9.258","721,439.7","350","keep_rep","C13*1 (z=1)"
"2921","2921","629.0597","9.258","127,160.6","350","filtered","none"
"2897","2897","613.1602","8.521","3,187,900.5","349","keep_rep","C13*1 (z=1)"
"2901","2901","614.1632","8.521","766,316.6","349","filtered","none"
"2896","2896","613.1402","9.328","1,877,049.0","348","keep_rep","C13*1 (z=1)"
"2900","2900","614.1436","9.335","423,824.5","348","filtered","C13*1 (z=1)"
"2904","2904","615.1456","9.328","101,150.9","348","filtered","none"
