"feature_name","mz","rt","metabolite_annotation","adducts_anno","neutral_loss_annotation","ISF_anno","iso_anno","group","cor_group","check_group","user_anno"
"FT5656",574.2727,155.2,"","",NA,"","",NA,"corgroup188","",""
"FT5459",575.1756,149.7,"","",NA,"","",NA,"corgroup116","",""
"FT12012",575.2304,319.4,"","",NA,"","",NA,"corgroup125","",""
"FT10358",575.2305,273.1,"","",NA,"","",NA,"corgroup24","",""
"FT5361",577.1911,146.5,"","",NA,"","",NA,"corgroup149","",""
"FT12489",577.2483,332.7,"","",NA,"","",NA,NA,"",""
"FT16641",577.2791,443.8,"","",NA,"","",NA,"corgroup81","",""
"FT0606",578.7723,28.3,"","",NA,"","",NA,"corgroup270","",""
"FT9239",580.2767,248.4,"","",NA,"","",NA,"corgroup80","",""
"FT7266",582.22,197.2,"","",NA,"","",NA,"corgroup172","",""
"FT4971",582.2409,136,"","",NA,"","",NA,"corgroup153","",""
"FT9148",583.2222,241.1,"","",NA,"","",NA,"corgroup151","",""
"FT11809",584.2543,313,"","",NA,"","","group9","corgroup126","+",""
"FT13103",584.2545,350.7,"","",NA,"","",NA,NA,"",""
"FT11536",584.2545,304.6,"","",NA,"","",NA,NA,"",""
"FT10832",584.2552,287.1,"","",NA,"","",NA,"corgroup119","",""
"FT8555",585.2365,226.9,"","",NA,"","","group31","corgroup160","+",""
"FT10617",585.2577,282,"","",NA,"","",NA,NA,"",""
"FT6323",586.2152,174.2,"","",NA,"","",NA,NA,"",""
"FT9430",586.2349,249.3,"","",NA,"","",NA,"corgroup120","",""
"FT11048",586.2696,291.6,"","",NA,"","",NA,"corgroup133","",""
"FT10673",586.27,282.9,"","",NA,"","",NA,"corgroup136","",""
"FT9755",586.2702,259.6,"","",NA,"","",NA,"corgroup189","",""
"FT9260",586.2709,244.5,"","",NA,"","",NA,"corgroup145","",""
"FT4769",587.1964,133.5,"","",NA,"","",NA,"corgroup28","",""
"FT8264",588.2672,220.6,"","",NA,"","",NA,"corgroup246","",""
"FT8780",588.2674,232.7,"","",NA,"","",NA,"corgroup78","",""
"FT10662",588.278,284.1,"","",NA,"","",NA,"corgroup115","",""
"FT10802",588.2853,285.8,"","",NA,"","",NA,"corgroup119","",""
"FT10490",588.286,277.4,"","",NA,"","",NA,"corgroup252","",""
"FT8808",588.3544,233.1,"","",NA,"","",NA,"corgroup65","",""
"FT5887",589.2017,162,"","",NA,"","",NA,"corgroup184","",""
"FT11328",589.2726,299.1,"","",NA,"","",NA,NA,"",""
"FT11361",591.2254,299.1,"","",NA,"","",NA,"corgroup128","",""
"FT9208",591.2254,242.9,"","",NA,"","",NA,"corgroup260","",""
"FT8802",592.2957,232.9,"","",NA,"","",NA,NA,"",""
"FT8310",592.2959,222.1,"","",NA,"","",NA,"corgroup246","",""
"FT10025",593.2282,264.5,"","",NA,"","",NA,"corgroup85","",""
"FT11323",593.2311,301.1,"","",NA,"","",NA,"corgroup127","",""
"FT9697",593.2435,257.7,"","","FT9698-H2O","","","group35","corgroup21","+",""
"FT22661",593.2772,625.5,"","",NA,"","",NA,NA,"",""
"FT22107",593.2772,608,"","",NA,"","",NA,NA,"",""
"FT13405",594.2097,358.1,"","",NA,"","",NA,"corgroup305","",""
"FT6823",595.1675,187.1,"","",NA,"","",NA,"corgroup146","",""
"FT7028",595.1676,191.8,"","",NA,"","",NA,"corgroup46","",""
"FT13682",595.1968,367,"","",NA,"","",NA,"corgroup320","",""
"FT12483",595.2591,333,"","",NA,"","",NA,"corgroup68","",""
"FT16646",595.2903,443.9,"","",NA,"","",NA,NA,"",""
"FT7303",596.2358,198.3,"","",NA,"","",NA,"corgroup57","",""
"FT5384",596.2567,147.7,"","",NA,"","",NA,"corgroup158","",""
"FT17557",596.312,471.1,"","",NA,"","",NA,NA,"",""
"FT10521",597.2125,276.7,"","",NA,"","",NA,"corgroup325","",""
"FT17759",598.3815,478.3,"","",NA,"","",NA,"corgroup262","",""
"FT17490",598.3816,469.1,"","",NA,"","",NA,"corgroup244","",""
"FT11621",599.3242,308,"","",NA,"","",NA,"corgroup87","",""
"FT8100",600.2499,216.8,"","",NA,"","",NA,"corgroup108","",""
"FT0511",600.834,27,"","",NA,"","",NA,"corgroup134","",""
"FT8153",601.2302,218,"","",NA,"","",NA,"corgroup108","",""
"FT17574",601.2669,471.6,"","",NA,"","",NA,"corgroup244","",""
"FT8590",601.2801,227.3,"","",NA,"","",NA,"corgroup160","",""
"FT9540",602.2649,252.3,"","",NA,"","",NA,"corgroup89","",""
"FT10548",602.2649,279.3,"","",NA,"","",NA,"corgroup252","",""
"FT8777",602.265,232.5,"","",NA,"","",NA,"corgroup78","",""
"FT8400",602.2651,224,"","",NA,"","",NA,"corgroup157","",""
"FT7982",602.2657,215.1,"","",NA,"","",NA,"corgroup164","",""
"FT7427",603.2065,201.1,"","",NA,"","",NA,"corgroup98","",""
"FT10096",603.3541,265,"","","FT10097-H2O","","","group6","corgroup267","+",""
"FT10384",603.3549,273.6,"","",NA,"","",NA,"corgroup70","",""
"FT11132",603.355,292.3,"","",NA,"","",NA,"corgroup348","",""
"FT10338",604.2807,272.4,"","",NA,"","",NA,"corgroup297","",""
"FT6038",606.2562,167.6,"","",NA,"","",NA,"corgroup139","",""
"FT6222",606.2564,171.9,"","",NA,"","",NA,"corgroup323","",""
"FT10491",606.3303,277.4,"","",NA,"","",NA,"corgroup130","",""
"FT8859",606.3502,234.5,"","",NA,"","",NA,"corgroup78","",""
"FT9770",607.1981,264.5,"","",NA,"","",NA,"corgroup143","",""
"FT7990",607.2212,215.2,"","",NA,"","",NA,"corgroup108","",""
"FT10827",607.2214,287,"","",NA,"","","group7","corgroup119","+",""
"FT8073",608.2907,216.5,"","",NA,"","",NA,"corgroup101","",""
"FT8242",608.2907,220.2,"","",NA,"","",NA,NA,"",""
"FT11038",609.1986,291.6,"","",NA,"","",NA,"corgroup131","",""
"FT8537",609.2237,226.8,"","",NA,"","",NA,"corgroup160","",""
"FT7882",609.2369,212.1,"","",NA,"","",NA,NA,"",""
"FT21732",609.2727,595.7,"","",NA,"","",NA,NA,"",""
"FT21327",609.273,583.5,"","",NA,"","",NA,"corgroup104","",""
"FT5171",611.1628,140.9,"","",NA,"","",NA,"corgroup236","",""
"FT6440",611.1631,177.3,"","",NA,"","",NA,"corgroup177","",""
"FT6215",611.2047,175.3,"","",NA,"","",NA,"corgroup176","",""
"FT6080",611.2122,168.1,"","",NA,"","",NA,"corgroup102","",""
"FT9698",611.2546,257.7,"","",NA,"","","group35","corgroup189","+",""
"FT10844",612.2862,287.5,"","",NA,"","",NA,"corgroup119","",""
"FT11137",613.2073,292.4,"","",NA,"","",NA,"corgroup131","",""
"FT9898",613.2076,263.5,"","",NA,"","",NA,"corgroup85","",""
"FT8778",614.2791,232.4,"","",NA,"","",NA,"corgroup53","",""
"FT11364",615.2101,297.3,"","",NA,"","",NA,NA,"",""
"FT0664",616.8123,28.6,"","",NA,"","",NA,"corgroup134","",""
"FT12491",617.2413,333.1,"","",NA,"","",NA,"corgroup68","",""
"FT10850",617.2436,288.7,"","",NA,"","",NA,NA,"",""
"FT8657",617.3387,230.9,"","",NA,"","",NA,"corgroup78","",""
"FT8045",618.2779,216.3,"","",NA,"","",NA,"corgroup35","",""
"FT8668",619.3497,229.3,"","",NA,"","",NA,"corgroup181","",""
"FT10964",619.3512,291.1,"","",NA,"","",NA,"corgroup131","",""
"FT15636",620.3665,420.2,"","",NA,"","",NA,"corgroup242","",""
"FT15916",620.3667,427.5,"","",NA,"","",NA,NA,"",""
"FT11129",620.3842,291.6,"","",NA,"","",NA,"corgroup131","",""
"FT10097",621.3654,265,"","",NA,"","","group6","corgroup143","+",""
"FT11521",621.366,303.7,"","",NA,"","",NA,NA,"",""
"FT9389",621.3682,247.3,"","",NA,"","",NA,"corgroup224","",""
"FT8583",621.3717,225.6,"","",NA,"","",NA,"corgroup272","",""
"FT17115",622.3826,457,"","",NA,"","",NA,"corgroup311","",""
"FT12696",622.3979,338.7,"","",NA,"","",NA,"corgroup255","",""
"FT20373",623.4039,552.4,"","",NA,"","",NA,NA,"",""
"FT6871",624.2867,188.1,"","",NA,"","",NA,"corgroup167","",""
"FT7174",625.1789,194.9,"","",NA,"","",NA,"corgroup327","",""
"FT21486",625.2678,587.9,"","",NA,"","",NA,NA,"",""
"FT6474",626.1739,177.5,"","",NA,"","",NA,"corgroup177","",""
"FT7832",626.3459,210.7,"","",NA,"","",NA,NA,"",""
"FT10611",627.2497,281.9,"","",NA,"","",NA,"corgroup252","",""
"FT11849",628.2808,315.1,"","",NA,"","",NA,"corgroup126","",""
"FT10840",629.2032,287.3,"","",NA,"","",NA,"corgroup119","",""
"FT11408",630.2963,300.2,"","",NA,"","",NA,"corgroup127","",""
"FT8641",634.3609,228.8,"","",NA,"","",NA,"corgroup160","",""
"FT11629",634.3612,308.1,"","",NA,"","",NA,"corgroup87","",""
"FT12023",634.3644,320.8,"","",NA,"","",NA,"corgroup125","",""
"FT8367",635.3451,223.5,"","",NA,"","",NA,"corgroup246","",""
"FT8587",638.3925,227.1,"","","FT8585-Anhydrohexose","","","group32","corgroup160","+",""
"FT8051",639.2088,214.6,"","",NA,"","",NA,"corgroup101","",""
"FT22311",639.2837,611.7,"","",NA,"","",NA,NA,"",""
