mz	rtime	[EmpCpd]interim_id            	[EmpCpd]ion_relation	neutral_formula	neutral_formula_mass            	name_1st_guess	matched_DB_shorts	matched_DB_records	user_input
509.2304585	5.2620616	kp8_470.2674	M0,M+H+	['C28H38O6']	470.2674436335992	Withanolide	{'C28H38O6': [{'DB_ID': 'HMDB0003218', 'name': 'Withanolide'}, {'DB_ID': 'HMDB0034415', 'name': 'Withanolide A'}, {'DB_ID': 'HMDB0036437', 'name': 'Methyl lucidenate F'}]}	('C28H38O6_470.266839', '', 1)	[]
471.2748637	5.2620616	kp8_470.2674	M0,K/H	['C28H38O6']	470.2674436335992	Withanolide	{'C28H38O6': [{'DB_ID': 'HMDB0003218', 'name': 'Withanolide'}, {'DB_ID': 'HMDB0034415', 'name': 'Withanolide A'}, {'DB_ID': 'HMDB0036437', 'name': 'Methyl lucidenate F'}]}	('C28H38O6_470.266839', '', 1)	[]
148.0373914	0.49788496	kp9_145.0232	13C/12C*2,M+H+	None	145.02317683323				[]
151.0472074	0.5283018	kp9_145.0232	13C/12C*5,M+H+	None	145.02317683323				[]
146.0302461	0.3821843	kp9_145.0232	M0,M+H+	None	145.02317683323				[]
141.0061053	0.389016	kp10_139.998	M0,M+H+	None	139.99799339989667				[]
147.0255721	0.39545515	kp10_139.998	13C/12C*6,M+H+	None	139.99799339989667				[]
148.0277472	0.3691534	kp10_139.998	13C/12C*7,M+H+	None	139.99799339989667				[]
257.9383563	0.39537868	kp11_217.9746	13C/12C,K/H	None	217.97456339989668				[]
218.9842486	0.39526019	kp11_217.9746	M0,M+H+	None	217.97456339989668				[]
219.9855067	0.39646396	kp11_217.9746	13C/12C,M+H+	None	217.97456339989668				[]
229.9429505	0.40966293	kp12_228.9365	M0,M+H+	None	228.93648678323				[]
234.961351	0.3725722	kp12_228.9365	13C/12C*5,M+H+	None	228.93648678323				[]
292.9783028	0.42177263	kp13_286.9534	13C/12C*5,M+H+	None	286.95338773323				[]
287.9598006	0.4157178	kp13_286.9534	M0,M+H+	None	286.95338773323				[]
496.8083499	0.47159895	kp14_493.7992	13C/12C*2,M+H+	None	493.79916688323				[]
494.8112468	0.45142445	kp14_493.7992	M0,M+H+	None	493.79916688323				[]
564.7964303	0.47159895	kp15_561.7869	13C/12C*2,M+H+	None	561.78686198323				[]
562.7985566	0.4564467	kp15_561.7869	M0,M+H+	None	561.78686198323				[]
462.8625382	0.45723867	kp16_461.8511	M0,M+H+	None	461.85114988323				[]
464.8610245	0.469635	kp16_461.8511	13C/12C*2,M+H+	None	461.85114988323				[]
682.8004574	0.4642905	kp17_681.7891	M0,M+H+	None	681.7891215332301				[]
684.7990486	0.469635	kp17_681.7891	13C/12C*2,M+H+	None	681.7891215332301				[]
548.8226716	0.4716107	kp18_545.8138	13C/12C*2,M+H+	None	545.81379543323				[]
546.8261822	0.46492267	kp18_545.8138	M0,M+H+	None	545.81379543323				[]
514.8770181	0.46910965	kp19_513.8659	M0,M+H+	None	513.8659383332299				[]
516.8761215	0.469635	kp19_513.8659	13C/12C*2,M+H+	None	513.8659383332299				[]
395.8797705	0.504278	kp20_393.8683	13C/12C,M+H+	None	393.86828013323				[]
394.8746977	0.469635	kp20_393.8683	M0,M+H+	None	393.86828013323				[]
530.8500749	0.469635	kp21_529.8388	M0,M+H+	None	529.83880133323				[]
532.8487907	0.469635	kp21_529.8388	13C/12C*2,M+H+	None	529.83880133323				[]
598.8380977	0.469635	kp22_597.8254	M0,M+H+	None	597.82540498323				[]
600.8339752	0.4498976	kp22_597.8254	13C/12C*2,M+H+	None	597.82540498323				[]
614.8127825	0.469635	kp23_613.8019	M0,M+H+	None	613.80190088323				[]
616.8122822	0.47695607	kp23_613.8019	13C/12C*2,M+H+	None	613.80190088323				[]
668.8258942	0.469635	kp24_665.8154	13C/12C*2,M+H+	None	665.8154388332299				[]
666.8262464	0.469635	kp24_665.8154	M0,M+H+	None	665.8154388332299				[]
708.8083299	0.469635	kp25_697.7637	13C/12C*10,M+H+	None	697.7637194665633				[]
700.771198	0.47159895	kp25_697.7637	13C/12C*2,M+H+	None	697.7637194665633				[]
698.7737199	0.469635	kp25_697.7637	M0,M+H+	None	697.7637194665633				[]
750.7872315	0.469635	kp26_749.7761	M0,M+H+	None	749.77608448323				[]
752.7862004	0.4716107	kp26_749.7761	13C/12C*2,M+H+	None	749.77608448323				[]
448.8877194	0.47077665	kp27_445.8776	13C/12C*2,M+H+	None	445.87762533322996				[]
446.8887942	0.46975523	kp27_445.8776	M0,M+H+	None	445.87762533322996				[]
578.7722926	0.47159895	kp28_577.7609	M0,M+H+	None	577.7609481832301				[]
580.7708667	0.47361842	kp28_577.7609	13C/12C*2,M+H+	None	577.7609481832301				[]
472.817544	0.47161627	kp29_471.8066	M0,M+H+	None	471.80655063323				[]
478.8363216	0.47357464	kp29_471.8066	13C/12C*6,M+H+	None	471.80655063323				[]
480.8345857	0.47159895	kp29_471.8066	13C/12C*8,M+H+	None	471.80655063323				[]
404.8299677	0.47357464	kp30_403.8237	M0,M+H+	None	403.82366973323				[]
410.8520547	0.46607012	kp30_403.8237	13C/12C*6,M+H+	None	403.82366973323				[]
510.7841925	0.47357464	kp31_509.7741	M0,M+H+	None	509.77405978324066				[]
