"row ID","row m/z","row retention time","row ion mobility","row ion mobility unit","row CCS","correlation group ID","annotation network number","best ion","auto MS2 verify","identified by n=","partners","neutral M mass","Orbi_P_E2_EXBLANKA.mzML Peak area","Orbi_P_E2_EXBLANKB.mzML Peak area","Orbi_P_E2_EXBLANKC.mzML Peak area","Orbi_P_E2_WS03A.mzML Peak area","Orbi_P_E2_WS03B.mzML Peak area","Orbi_P_E2_WS03C.mzML Peak area","Orbi_P_E2_Wasteblank4.mzML Peak area","Orbi_P_E2_Wasteblank5.mzML Peak area","Orbi_P_E2_Wasteblank6.mzML Peak area","...23"
133,147.025572125738,0.39545515,"","","","31","25","[M+NH4]+","","2","133;159","128.99179",96.30885,119.69893,170.58008,3532.5361,4218.631,4233.4653,142.19034,201.18274,62.60927,""
84,179.991312280955,0.40147793,"","","","31","22","[M+K]+","","3","105;84;187","141.02778",259.54855,163.84303,91.75159,3290.5364,3776.2373,4028.2202,199.35114,113.02356,198.06512,""
61,222.930512358788,0.40418237,"","","","31","27","[2M+K]+","","2","61;154","91.98483",199.86163,178.84871,162.53079,1380.1262,1872.6559,2166.472,125.15358,114.08937,126.68169,""
226,132.014555760787,0.40647808,"","","","31","33","[M+NH4]+","","2","234;226","113.98149",0,0,19.023376,492.06747,676.18024,708.88025,0,0,0,""
192,239.967096749174,0.4088852,"","","","31","11","[M+Na]+","","2","121;192","216.97823",122.24802,223.46442,119.13393,3977.0134,4463.4243,4573.743,55.218643,66.84254,59.097755,""
197,265.015932630043,0.4177358,"","","","31","","","","","","",0,0,0,10123.854,14636.74,15814.007,0,0,0,""
225,117.990934553837,0.41974902,"","","","31","36","[M+H-H2O]+","","2","225;240","134.99438",0,0,0,651.444,886.1745,962.5361,0,0,0,""
105,124.023908896031,0.4225952,"","","","31","22","[M+H-H2O]+","","2","84;105","141.02778",22.622849,31.981846,0,838.3639,1257.3373,1233.388,23.982716,0,28.489962,""
193,242.00045848584,0.42936942,"","","","31","","","","","","",40.96984,156.0605,80.20308,31426.334,45636.75,49128.844,190.38234,95.31198,33.71557,""
199,284.938540882874,0.4369203,"","","","31","40","[M+K]+","","3","237;199;276","245.97345",59.845184,233.51083,173.71143,4573.3223,5842.5093,5607.004,319.17645,144.6711,142.76582,""
658,192.911037046258,0.4428637,"","","","31","41","[M+K]+","","2","570;658","153.9475",27.453178,0,37.523033,9454.398,9755.414,10422.975,33.961235,35.89572,0,""
276,268.962058175031,0.44978973,"","","","31","40","[M+Na]+","","2","199;276","245.97345",1269.1515,896.41345,641.25305,7799.654,10229.612,11056.111,991.09705,1259.4729,381.1018,""
717,494.81124682781,0.45142445,"","","","31","217","[2M+Na]+","","2","708;717","235.91003",29.434803,0,0,20651.725,26062.617,27514.535,0,0,29.57887,""
295,180.08712321735,0.45477757,"","","","31","230","[M+H]+","","2","653;295","179.08015",74.998634,243.80447,498.91895,18111.771,18244.273,19142.053,260.82568,70.91548,319.6991,""
709,276.872366018437,0.45642006,"","","","31","69","[M+K]+","","2","656;709","237.90873",0,24.622429,0,20818.842,22296.398,25681.098,0,0,0,""
586,562.798556612583,0.4564467,"","","","31","56","[M+K]+","","2","585;586","523.83618",0,0,42.285007,15333.855,17722.83,18225.303,0,0,0,""
581,462.862538204186,0.45723867,"","","","31","85","[M+Na]+","","3","704;581;716","439.87079",35.05419,0,22.721062,105633.58,100305.914,72528.98,0,0,0,""
280,147.113673722089,0.46065807,"","","","31","57","[M+H]+","","2","285;280","146.10591",239.60135,329.08694,313.88538,5404.89,6357.0957,6448.5664,201.34633,116.927155,435.25165,""
700,108.95022845187,0.46265948,"","","","31","119","[M+Na]+","","2","700;651","85.96041",34.643005,29.592762,36.81038,4614.708,4170.765,4083.366,40.318462,82.79057,59.04771,""
570,176.93634757793,0.46429187,"","","","31","41","[M+Na]+","","2","570;658","153.9475",0,0,33.289307,6301.931,5281.3154,3388.829,0,0,79.75992,""
590,682.800457441453,0.4642905,"","","","31","114","[M+Na]+","","2","590;592","659.8109",0,0,0,22649.037,21188.748,14088.64,28.115921,0,0,""
585,546.826182197914,0.46492267,"","","","31","56","[M+Na]+","","2","585;586","523.83618",65.15177,0,0,37015.918,40999.11,31547.639,0,0,0,""
660,410.852054699236,0.46607012,"","","","31","175","[M+K]+","","3","660;576;595","371.8861",31.915009,0,69.1275,61335.742,67827.766,64009.633,0,76.73392,38.73562,""
624,242.92596173754,0.47041887,"","","","31","","","","","","",23537.713,18946.623,22792.38,467072.53,425519.72,325804.7,16020.973,23826.912,19379.816,""
651,124.922960305316,0.47159895,"","","","31","119","[M+K]+","","2","700;651","85.96041",0,0,0,33699.21,37155.258,38157.89,0,0,0,""
653,218.042843087106,0.47159895,"","","","31","230","[M+K]+","","4","295;653;572;750","179.08015",0,0,0,52901.117,50337.508,50371.723,0,0,0,""
656,260.897462338865,0.47159895,"","","","31","69","[M+Na]+","","2","656;709","237.90873",0,0,0,34536.96,34493.13,33569.734,0,0,0,""
606,578.772292601658,0.47159895,"","","","31","70","[M+K]+","","2","606;586","539.80924",0,0,0,3335.3286,5264.206,6185.9644,0,0,0,""
751,262.069036841574,0.4755559,"","","","31","218","[M+K]+","","2","770;751","223.10614",0,0,0,34048.008,35579.902,33241.75,0,0,0,""
752,266.160090766679,0.4755559,"","","","31","","","","","","",0,0,0,49004.176,49557.414,49148.344,0,0,0,""
694,360.833632391327,0.47559413,"","","","31","208","[M+K]+","","2","694;713","321.87019",0,0,0,1856.5037,2871.1982,2724.3113,0,0,0,""
712,342.862970683796,0.47674012,"","","","31","212","[M+Na]+","","2","714;712","319.87357",0,0,33.468864,35554.566,40591.7,43091.312,48.40165,52.87809,36.016037,""
664,616.812282235333,0.47695607,"","","","31","200","[M+Na]+","","2","664;608","593.82228",42.519318,0,0,7310.412,6736.8843,4577.1094,0,0,0,""
577,396.872684507647,0.4774012,"","","","31","233","[M+K]+","","2","577;659","357.90835",0,0,0,18403.5,18160.467,14882.966,0,50.637733,0,""
758,342.139774234219,0.47758165,"","","","31","221","[M+H]+","","1","772","341.13251",0,0,0,7421.1035,7534.9507,7146.8984,0,0,0,""
332,200.041144159422,0.478548,"","","","31","235","[M-H+2Na]+","","3","332;463;832","155.06989",0,118.80852,0,21663.76,20797.195,18239.576,0,34.75656,0,""
768,257.862809920878,0.4795629,"","","","31","216","[M-H+2Na]+","","2","762;768","212.89106",0,0,0,13172.055,15590.971,17241.957,0,0,0,""
767,336.840710757948,0.47999245,"","","","31","213","[M+K]+","","2","627;767","297.87728",0,0,0,5379.1455,5231.9976,8386.443,46.586517,49.861595,0,""
426,351.989607764722,0.48155856,"","","","31","210","[M+Na]+","","2","426;603","329.00084",0,0,0,5143.2354,5641.3066,4334.4507,0,0,31.772398,""
783,180.904351478782,0.48410183,"","","","31","225","[M+Na]+","","2","783;764","157.91505",109.54852,164.05386,205.65413,5789.17,7303.3057,6545.5156,166.43222,263.9084,383.1085,""
705,122.92503119249,0.48453605,"","","","31","211","[M+K]+","","3","682;705;706","83.96168",111.29823,78.65481,48.805084,229664.6,255234.98,255296.56,38.818855,127.03032,124.58688,""
575,328.883017767603,0.48578387,"","","","31","215","[M+K]+","","2","574;575","289.92119",0,36.481735,0,11615.351,11493.09,9686.152,0,0,34.93048,""
652,198.123896738671,0.48615366,"","","","31","223","[M+H]+","","3","652;371;654","197.11688",52.83433,57.87082,60.666008,11075.227,11961.366,9720.839,51.81099,114.11362,44.813065,""
578,412.847042328702,0.48782694,"","","","31","234","[M+Na]+","","2","578;605","389.85692",0,0,88.63995,13600.585,15040.814,14096.297,0,0,0,""
939,280.092520194093,0.48817444,"","","","31","248","[M+Na]+","","3","965;879;939","257.1029",75.04874,62.57342,48.572166,443688,452335.62,414429.94,42.604115,36.388844,64.967545,""
370,178.05909413265,0.49534574,"","","","31","235","[M+Na]+","","3","463;370;832","155.06989",59.383034,156.33215,81.93879,35923.117,35004.36,31753.264,192.9599,88.48416,94.00292,""
822,244.92307994187,0.4966404,"","","","31","229","[M+Na]+","","2","656;822","221.93408",441.37872,1375.3993,1740.3168,32783.89,28616.723,22598.568,1384.196,1530.6051,1218.3197,""
809,148.037391443881,0.49788496,"","","","31","237","[M+Na]+","","2","810;809","125.04682",30.78426,56.875687,0,9723.958,10062.162,6695.9263,0,43.182327,27.225224,""
659,380.896397233613,0.49823862,"","","","31","233","[M+Na]+","","2","577;659","357.90835",97.826004,442.35236,154.41559,11361.895,9206.607,6234.0747,464.50586,1451.7006,336.95282,""
1235,140.062107399154,0.49985346,"","","","31","","","","","","",24.86802,73.5634,132.47623,14487.715,13849.633,15586.328,116.19487,42.5542,94.4836,""
793,104.107702254771,0.50064415,"","","","31","","","","","","",6493.629,2820.1553,10553.437,10068085,10776250,10348523,4529.334,3549.3533,4142.386,""
1263,115.037836663396,0.50180024,"","","","31","252","[M+H-H2O]+","","2","1263;1175","132.0418",256.004,193.28825,143.92883,22960.219,24130.05,21256.305,339.76413,224.64471,186.67143,""
828,365.106266133627,0.50351113,"","","","31","292","[M+Na]+","","4","828;1254;1261;1177","342.11714",12090.918,9652.075,13608.308,3673709.2,3760503.2,3557110,9290.9,10002.959,10099.502,""
711,326.884063753371,0.5069476,"","","","31","219","[M+K]+","","3","587;602;711","287.92357",0,0,56.022686,82785.72,82716.71,71843.266,25.43947,0,52.913605,""
655,258.897511363661,0.5101002,"","","","31","217","[M+Na]+","","3","655;708;718","235.91003",315.93262,387.31772,842.83453,246509.05,259695.89,235379,416.77197,759.0927,526.5544,""
859,203.053092950042,0.5128053,"","","","31","243","[M+Na]+","","2","859;1005","180.06404",20093.168,21065.533,34871.227,807518.1,666510.9,723223,31241.008,22005.426,31827.621,""
796,105.110961361459,0.5181578,"","","","31","","","","","","",89.839806,38.811157,67.91415,552718.2,584812.6,556766.5,47.513393,93.10275,79.12625,""
878,288.105538924349,0.51884407,"","","","31","247","[M+Na]+","","2","881;878","265.11676",0,0,0,19171.072,19965.023,17899.188,0,0,0,""
879,296.066286496373,0.51884407,"","","","31","248","[M+K]+","","2","939;879","257.1029",0,0,0,284303.25,316433.66,344750.44,0,0,0,""
832,156.077247803315,0.5195639,"","","","31","235","[M+H]+","","4","332;463;370;832","155.06989",2947.2346,1869.2299,4207.2183,164138.48,168618.78,214202.23,4697.603,2822.9626,6099.8916,""
933,169.058738263397,0.52062434,"","","","31","287","[M+NH4]+","","2","931;933","151.02638",65.414185,0,0,540114.5,527870.8,463449.44,36.120018,30.56205,39.773636,""
905,116.034672439772,0.52269834,"","","","31","284","[M+H]+","","2","905;906","115.02738",0,0,0,38198.24,37382.582,33978.93,0,0,0,""
1188,367.111328337295,0.52435917,"","","","31","301","[M+Na]+","","3","1188;1276;1270","344.12186",0,36.342613,39.483543,108043.78,107632.01,101641.31,0,0,26.80243,""
1177,381.08020794465,0.52442914,"","","","31","292","[M+K]+","","6","1273;828;1254;1261;1251;1177","342.11714",183.03859,44.006874,71.64065,1006769.94,1075778.5,1051523.5,39.364838,67.5882,43.313694,""
922,290.065244193423,0.52462536,"","","","31","289","[M+K]+","","2","955;922","251.10207",0,0,0,4419.858,4275.4688,4010.733,0,0,0,""
965,258.110666529585,0.53177905,"","","","31","248","[M+H]+","","3","1075;965;939","257.1029",843.10266,237.8235,1095.539,931797.94,1007987.56,997458.8,144.31342,317.20923,215.01668,""
1048,527.159589877971,0.53400934,"","","","31","282","[M+Na]+","","3","1048;1179;1017","504.17071",33.926857,36.533913,34.26609,44927.883,46501.28,39862.797,0,0,0,""
1090,293.063591942726,0.53625244,"","","","31","286","[M+K]+","","2","1090;1158","254.10061",0,0,0,84436.22,101394.93,107089.91,0,0,0,""
1024,147.076795495729,0.5369775,"","","","31","276","[M+H]+","","2","1024;975","146.06968",151.56271,60.709244,443.82895,2769605.8,2836593.2,2585935.8,106.0584,266.28308,126.9948,""
875,155.044237205496,0.5382028,"","","","31","285","[M+Na]+","","3","907;875;906","132.05422",30.658516,0,40.612854,236393.3,219906.11,196905.36,0,38.129734,32.407986,""
1127,434.187301106749,0.5381795,"","","","31","267","[M+NH4]+","","3","1004;1127;1002","416.15354",0,0,0,50056.785,56600.246,52610.082,0,0,0,""
1159,309.12950392512,0.5401073,"","","","31","","","","","","",0,0,0,416809.88,424810,409413.7,0,0,0,""
1259,739.162225022367,0.54436344,"","","","31","293","[2M+H]+","","2","1259;1225","369.07609",0,0,0,11313.045,13949.671,15189.873,37.11746,0,0,""
1254,325.113712048166,0.54603124,"","","","31","292","[M+H-H2O]+","","5","828;1280;1254;1251;1177","342.11714",652.7366,543.43536,1013.9974,883554.8,922049.2,885387.9,296.75995,79.43854,285.5109,""
844,193.001394840042,0.5467521,"","","","31","254","[M+K]+","","2","854;844","154.03664",67.01158,138.93272,138.53159,53461.566,56371.09,49671.34,65.1976,88.13193,66.51188,""
825,143.081960260617,0.5491338,"","","","31","294","[M+H-H2O]+","","2","1039;825","160.08544",1050.9443,336.24725,666.5933,10572.758,8108.6733,11111.887,189.53975,829.0231,521.71747,""
1261,360.150818504366,0.55230343,"","","","31","292","[M+NH4]+","","5","1273;828;1261;1251;1177","342.11714",5284.485,5167.9736,7055.586,6243336,6578810.5,6352820,4663.8647,5061.6685,3054.0725,""
932,167.021089770377,0.55311275,"","","","31","290","[M+K]+","","2","930;932","128.05796",54.516678,239.45474,43.710724,6282.8677,7110.3477,6917.748,389.97614,288.48077,209.55261,""
1345,175.109169484969,0.5572,"","","","31","","","","","","",344.03152,0,30.888197,38593.527,36549.176,35736.926,37.565292,52.310047,34.927856,""
1311,458.187264501822,0.55745107,"","","","31","","","","","","",0,0,0,191035.34,194641.98,185279.55,0,0,0,""
1257,127.039472592693,0.5582969,"","","","31","310","[M+H-H2O]+","","2","1257;1248","144.04265",132.91418,167.6788,624.1301,459246.9,466558.5,447866.34,215.5619,267.77814,177.63799,""
934,185.031961125757,0.5596327,"","","","31","288","[M+K]+","","2","934;933","146.06916",0,0,38.344025,197405.33,201605.55,204011.44,43.473938,13.192415,0,""
1224,138.05533497783,0.5612984,"","","","31","","","","","","",3408.83,4626.167,4293.038,5408610.5,5537192.5,5330411.5,641.4518,847.11633,286.69235,""
1264,116.071206337004,0.56172156,"","","","31","","","","","","",10601.09,17295.982,12332.646,2822176,2852950.5,2581267,10897.847,19404.725,14327.758,""
1338,336.096117763715,0.5632345,"","","","31","","","","","","",0,0,0,111785.016,118527.59,113900.43,0,0,0,""
1276,362.156206081097,0.56339186,"","","","31","301","[M+NH4]+","","4","1188;1276;1270;1252","344.12186",57.249096,0,30.72805,188777.69,201924.06,194593.14,29.149586,0,0,""
1251,707.224996462418,0.56492543,"","","","31","292","[2M+Na]+","","5","1273;1254;1261;1251;1177","342.11714",0,0,34.516357,133229.98,146851.97,130743.69,0,0,0,""
1331,245.150008458168,0.56779873,"","","","31","318","[M+NH4]+","","2","1334;1331","227.11612",0,0,0,8953.217,8571.583,8052.2944,0,44.5843,0,""
1325,427.07753475141,0.56795657,"","","","31","322","[M+Na]+","","2","1339;1325","404.08718",32.68639,37.93606,93.75093,95106.36,96320.87,101521.83,31.58863,47.73438,35.055843,""
1355,130.050361113934,0.56947875,"","","","31","302","[M+H-H2O]+","","2","1355;966","147.05387",4649.3657,4558.503,5377.1143,1738838,1834487.5,1664224,5003.281,5244.2427,5164.664,""
1273,343.124324462547,0.5703882,"","","","31","292","[M+H]+","","5","1273;1280;1261;1251;1177","342.11714",108.622925,33.168304,155.84274,361239.5,373597.56,372842,21.825893,44.86576,29.313862,""
1388,215.052806021564,0.57897615,"","","","31","324","[M+H]+","","2","1388;1432","214.04534",0,0,0,62458.3,57453.035,51756.824,0,0,0,""
1391,460.203015846311,0.57897615,"","","","31","","","","","","",0,0,0,175194.34,167366.6,160353.4,0,0,0,""
1163,280.139712359818,0.5822217,"","","","31","334","[M+H]+","","2","1163;1461","279.13239",51.279675,0,0,291622.1,293063.62,294043.16,0,0,0,""
1502,130.086734248874,0.58782727,"","","","31","332","[M+H-H2O]+","","2","1502;1514","147.09073",3445.9526,2336.0947,3884.23,135398.9,133292.56,130045.55,2198.9045,1790.2218,638.65283,""
1509,274.092035468748,0.59050095,"","","","31","","","","","","",186.02524,231.78247,118.64017,105057.234,107380.02,108132.09,143.67699,129.94351,115.83174,""
1632,321.096262450784,0.5945352,"","","","31","349","[M+K]+","","2","1579;1632","282.13229",0,0,0,3904.0205,3558.185,4991.5166,0,0,0,""
1652,132.102371810473,0.59948754,"","","","31","","","","","","",7748.8286,7473.3213,7798.8057,157707.19,167491.23,161330.72,9333.513,8051.8823,9372.574,""
1664,184.133800821201,0.60258776,"","","","31","352","[M+NH4]+","","2","1664;1622","166.09931",0,64.16604,16.224846,5377.728,7409.4404,7830.507,46.63439,24.207134,27.425522,""
1425,314.14533356026,0.60410625,"","","","31","351","[M+NH4]+","","2","1425;1547","296.11111",0,0,24.745464,12608.56,10185.778,11993.026,0,0,0,""
1549,202.039214320585,0.60496455,"","","","31","350","[M+Na]+","","2","1549;1419","179.04831",0,42.06675,22.258575,3701.2927,4486.98,4352.733,0,18.944767,0,""
1802,178.995207041703,0.66144687,"","","","31","","","","","","",70.20563,40.029305,56.568623,105443.31,99146.305,108797.586,38.709396,51.953403,41.439785,""
2246,259.080191638636,0.7848243,"","","","53","364","[M+Na]+","","3","2235;2372;2246","236.09055",0,0,0,20891.248,20877.502,16275.018,0,25.492079,0,""
2164,215.139982830583,0.79092604,"","","","53","401","[M+NH4]+","","2","2164;2227","197.10592",0,0,25.352608,2040.0095,1972.2701,1969.0815,0,0,0,""
2066,263.053168081437,0.7913873,"","","","53","358","[M+K]+","","3","2066;2071;2065","224.09005",0,0,0,4425.9272,3894.2297,4209.323,0,0,0,""
2071,247.079312114898,0.7934055,"","","","53","358","[M+Na]+","","3","2066;2071;2065","224.09005",0,0,0,12391.998,12874.111,11916.893,0,0,0,""
2148,102.055671217416,0.80058664,"","","","53","363","[M+H-H2O]+","","2","2190;2148","119.05985",532.399,548.0994,350.25153,9646.892,9976.366,9426.216,469.7211,325.12103,245.02068,""
2231,232.014084821113,0.80108786,"","","","53","374","[M+H]+","","2","2301;2231","231.00645",46.979176,102.69146,39.39702,10092.659,10069.269,8928.46,40.804916,45.761284,49.090797,""
2201,136.062189048503,0.80686975,"","","","53","","","","","","",7297.754,7355.5483,6711.5625,209060.25,208680.66,186768.62,5862.693,6509.6953,6812.7627,""
2289,130.050390534097,0.80821925,"","","","53","442","[M+H]+","","3","2221;2157;2289","129.04554",5497.992,4928.037,7532.3457,343196.2,347289.47,343726.3,4498.909,5346.7964,4805.6577,""
2216,124.039886597904,0.81498253,"","","","53","360","[M+H-H2O]+","","2","2216;2390","141.04294",686.3779,876.40466,464.49927,30992.44,35422.297,30058.826,644.6066,152.42838,607.8385,""
2384,182.08180627042,0.8156121,"","","","53","438","[M+H]+","","4","2352;2318;2384;2140","181.07404",539.1822,408.76328,603.9148,62918.44,67072.89,61919.57,548.0068,423.87506,191.20247,""
2406,319.080548985586,0.8175032,"","","","53","445","[M+K]+","","2","2406;2410","280.11676",0,0,0,2427.3699,2348.2285,2529.4958,0,0,0,""
2221,152.035211682628,0.8180854,"","","","53","442","[M+Na]+","","5","2221;2299;2289;2283;2520","129.04554",401.2226,155.08786,222.11426,14624.2705,14369.864,13296.584,826.5464,448.64374,198.5069,""
2410,303.105354049903,0.81952196,"","","","53","445","[M+Na]+","","2","2406;2410","280.11676",0,0,0,7454.449,7809.47,7188.0127,0,0,0,""
2154,172.059448775026,0.8204707,"","","","53","371","[M+H]+","","2","2154;2229","171.05281",297.0655,374.86234,201.01067,4694.4146,4836.5205,4524.263,369.76715,105.40571,170.63536,""
2233,204.087316682781,0.823217,"","","","53","419","[M+H]+","","2","2233;2237","203.08014",43.774696,34.8406,39.07451,2514.5894,2351.4043,2579.7402,31.818668,45.727592,38.01554,""
2426,321.095202904043,0.8235666,"","","","53","441","[M+K]+","","2","2426;2328","282.13191",0,0,0,13979.604,14752.798,13290.248,0,0,0,""
2389,190.107817164212,0.82431984,"","","","53","454","[M+H]+","","2","2414;2389","189.10115",639.7813,528.5541,252.6429,6244.917,6483.2183,6694.0283,1215.0642,413.6945,258.07355,""
2214,119.049509528386,0.82447606,"","","","53","451","[M+H]+","","2","2217;2214","118.04225",34.827633,0,0,4552.4336,4743.7754,4394.5474,27.546238,34.607716,25.514149,""
2313,251.955507899693,0.82508314,"","","","53","434","[M+Na]+","","2","2132;2313","228.96702",0,27.040585,0,4784.166,4873.9355,4863.3096,0,0,0,""
2451,234.065289502664,0.82962275,"","","","53","460","[M+H]+","","2","2501;2451","233.058",0,0,0,10167.932,11183.791,10801.029,0,0,0,""
2215,123.043218221932,0.8342813,"","","","53","","","","","","",78.717186,158.84825,124.603035,8228.155,8310.31,7620.112,169.7277,165.86267,48.84713,""
2467,329.08439308853,0.83567077,"","","","53","459","[M+Na]+","","2","2468;2467","306.09553",0,0,0,10349.689,14221.461,10955.051,0,0,0,""
2470,231.084314406499,0.8365957,"","","","53","461","[M+Na]+","","3","2470;2471;2476","208.09512",0,0,0,14011.632,15009.503,14989.708,0,37.133083,0,""
2487,176.066096788585,0.8442332,"","","","53","465","[M-H+2Na]+","","2","2438;2487","131.09555",0,0,0,19090.334,19741.146,19061.195,0,0,0,""
2488,249.028884052122,0.8442332,"","","","53","463","[M+H]+","","2","2488;2489","248.0222",0,0,0,5885.4917,6474.452,5966.501,0,0,0,""
2501,256.047175785654,0.84836024,"","","","53","460","[M+Na]+","","3","2501;2451;2448","233.058",0,0,0,3038.888,3302.8403,3128.3264,0,0,0,""
2439,154.085825839945,0.8529883,"","","","53","465","[M+Na]+","","2","2438;2439","131.09555",38.908134,35.235573,33.69202,7507.8228,7394.236,6931.1445,38.71798,37.650063,30.719143,""
2519,294.155033976271,0.8596284,"","","","53","467","[M+H]+","","3","2523;2519;2532","293.14798",0,0,0,38536.715,45290.32,44224.477,0,0,0,""
2524,180.064372259882,0.8634544,"","","","53","466","[M+Na]+","","3","2517;2524;2516","157.07459",23.36118,0,0,13021.881,15017.091,11062.942,29.981522,0,37.104866,""
2438,132.102378816853,0.87296814,"","","","53","465","[M+H]+","","3","2439;2438;2487","131.09555",3466.4048,1460.1443,2950.9255,1037333.94,1102495.5,989344.06,410.53064,1409.2577,4018.1296,""
2573,176.092231814337,0.8741196,"","","","53","469","[M+H]+","","2","2562;2573","175.08511",1279.3766,700.3152,265.00333,24678.117,31805.162,22438.234,635.2914,276.8817,485.28778,""
2564,275.11043931617,0.8796429,"","","","53","476","[M+Na]+","","4","2590;2564;2552;2580","252.12149",0,0,0,19980.07,23737.117,19846.932,0,0,0,""
2575,301.089796719948,0.8816609,"","","","53","470","[M+Na]+","","2","2575;2565","278.10078",0,0,0,4276.175,4847.8315,4519.355,0,0,0,""
2591,221.092426487778,0.8856978,"","","","53","474","[M+H]+","","2","2576;2591","220.08509",0,0,0,15249.439,16758.43,13206.076,0,0,0,""
2593,158.060366514651,0.88771015,"","","","53","475","[M+H]+","","2","2606;2593","157.05309",0,0,0,269.0177,409.21896,308.94553,0,0,0,""
2596,273.094867330287,0.88771516,"","","","53","473","[M+Na]+","","2","2596;2578","250.10575",0,0,0,5705.694,6571.1084,4918.1196,0,0,0,""
2597,402.161335640838,0.88771445,"","","","53","471","[M+NH4]+","","2","2566;2597","384.12747",0,0,0,5730.2026,7984.23,6013.113,0,0,0,""
2606,175.086918482121,0.89174634,"","","","53","475","[M+NH4]+","","2","2606;2593","157.05309",0,0,0,2033.7333,2255.0652,1621.0272,0,0,0,""
2590,270.155345364385,0.89718646,"","","","53","476","[M+NH4]+","","4","2590;2564;2552;2580","252.12149",23.161808,0,0,1409.7454,1821.7234,1215.9753,0,29.179718,36.75109,""
2633,369.116142279893,0.9098714,"","","","53","478","[M+Na]+","","3","2632;2633;2643","346.12685",0,0,0,3577.8508,4219.35,3842.8108,0,0,0,""
2640,316.100653882573,0.91390204,"","","","53","479","[M+Na]+","","3","2638;2639;2640","293.11184",0,0,0,9096.171,10498.906,7458.65,0,0,0,""
2643,385.089992758086,0.9159097,"","","","53","478","[M+K]+","","3","2632;2633;2643","346.12685",0,0,0,2015.9761,1337.9691,1514.4086,0,0,0,""
2746,202.180682814215,0.9274843,"","","","55","484","[2M+NH4]+","","2","2746;2762","92.07458",1013.5183,226.73099,315.4629,5684.093,6509.044,6603.888,101.964836,212.64053,196.97926,""
2692,300.105797680683,0.9332048,"","","","53","480","[M+Na]+","","3","2693;2697;2692","277.11665",0,0,0,13619.565,15927.758,12747.151,0,0,0,""
2673,207.968313933407,0.9399661,"","","","53","482","[M+H]+","","1","2669","206.9604",29.730831,28.578228,26.58941,790.3038,1038.8191,904.5697,0,32.39417,67.24592,""
2700,229.154764651293,0.94988805,"","","","53","","","","","","",38.238155,0,0,31523.52,34862.785,29394.06,0,0,0,""
2651,123.0558362031,0.955957,"","","","53","","","","","","",564.39014,2716.0142,2827.591,246983.78,263945.2,235010.66,3476.7888,2986.4177,524.6998,""
