id_number,mz,rtime,Orbi_P_E2_EXBLANKA.mzML,Orbi_P_E2_EXBLANKB.mzML,Orbi_P_E2_EXBLANKC.mzML,Orbi_P_E2_WS03A.mzML,Orbi_P_E2_WS03B.mzML,Orbi_P_E2_WS03C.mzML,Orbi_P_E2_Wasteblank4.mzML,Orbi_P_E2_Wasteblank5.mzML,Orbi_P_E2_Wasteblank6.mzML
810,164.008633,0.49572334,0,0,0,4075.1863,4187.0493,4021.3599,0,0,0
822,244.9230799,0.4966404,441.37872,1375.3993,1740.3168,32783.89,28616.723,22598.568,1384.196,1530.6051,1218.3197
750,162.0764743,0.4973404,1294.021,1268.9606,934.3992,23548.666,25331.91,27463.207,615.23895,264.52954,497.41464
809,148.0373914,0.49788496,30.78426,56.875687,0,9723.958,10062.162,6695.9263,0,43.182327,27.225224
659,380.8963972,0.49823862,97.826004,442.35236,154.41559,11361.895,9206.607,6234.0747,464.50586,1451.7006,336.95282
1235,140.0621074,0.49985346,24.86802,73.5634,132.47623,14487.715,13849.633,15586.328,116.19487,42.5542,94.4836
793,104.1077023,0.50064415,6493.629,2820.1553,10553.437,10068085,10776250,10348523,4529.334,3549.3533,4142.386
1263,115.0378367,0.50180024,256.004,193.28825,143.92883,22960.219,24130.05,21256.305,339.76413,224.64471,186.67143
828,365.1062661,0.50351113,12090.918,9652.075,13608.308,3673709.2,3760503.2,3557110,9290.9,10002.959,10099.502
555,395.8797705,0.504278,0,0,0,6144.8335,5973.4106,4780.784,0,35.48039,47.46981
711,326.8840638,0.5069476,0,0,56.022686,82785.72,82716.71,71843.266,25.43947,0,52.913605
655,258.8975114,0.5101002,315.93262,387.31772,842.83453,246509.05,259695.89,235379,416.77197,759.0927,526.5544
854,177.024904,0.51150197,0,0,0,87638.83,87544.664,67765.27,0,0,0
855,191.0404995,0.51150197,0,0,0,87818.98,85235.77,67889.53,0,0,0
856,207.0145107,0.51150197,0,0,0,49453.625,53715.348,45952.16,0,0,0
857,222.9883857,0.51150197,0,0,0,9086.365,11276.145,10720.901,0,0,0
852,347.0351358,0.51150197,0,0,0,3222.2803,3354.3987,2796.7156,0,0,0
859,203.053093,0.5128053,20093.168,21065.533,34871.227,807518.1,666510.9,723223,31241.008,22005.426,31827.621
871,345.075875,0.51640946,0,0,0,8696.397,7545.0903,4523.0903,0,0,0
1005,219.0273653,0.5164382,452.0445,328.06845,301.96262,86353.28,84057.13,78561.31,157.7547,336.8605,184.66148
1109,176.0127216,0.5165823,0,33.391846,0,11277.972,15404.532,15825.152,45.99016,35.469467,38.37458
1087,160.0366928,0.51788557,0,0,0,35552.19,39793.273,37807.867,0,0,57.059414
572,202.0705251,0.5180021,40.331753,42.60334,45.50537,40880.26,40861.926,37395.297,48.17016,38.420273,38.797398
796,105.1109614,0.5181578,89.839806,38.811157,67.91415,552718.2,584812.6,556766.5,47.513393,93.10275,79.12625
878,288.1055389,0.51884407,0,0,0,19171.072,19965.023,17899.188,0,0,0
879,296.0662865,0.51884407,0,0,0,284303.25,316433.66,344750.44,0,0,0
881,304.0803579,0.51884407,0,0,0,10828.185,13405.402,12996.208,0,0,0
882,323.0943976,0.51884407,0,0,0,6429.0615,6704.4624,4988.978,0,0,0
832,156.0772478,0.5195639,2947.2346,1869.2299,4207.2183,164138.48,168618.78,214202.23,4697.603,2822.9626,6099.8916
933,169.0587383,0.52062434,65.414185,0,0,540114.5,527870.8,463449.44,36.120018,30.56205,39.773636
905,116.0346724,0.52269834,0,0,0,38198.24,37382.582,33978.93,0,0,0
907,171.0168839,0.5226982,0,0,0,51508.965,51999.91,51768.535,0,0,0
986,221.0429209,0.5236387,0,36.79606,0,16349.983,11117.737,11689.754,33.9368,553.0843,0
1188,367.1113283,0.52435917,0,36.342613,39.483543,108043.78,107632.01,101641.31,0,0,26.80243
1177,381.0802079,0.52442914,183.03859,44.006874,71.64065,1006769.94,1075778.5,1051523.5,39.364838,67.5882,43.313694
921,214.0591848,0.52462536,0,0,0,4656.556,6157.3027,4187.9287,0,0,0
938,279.0478083,0.52462536,0,0,0,20212.352,22415.445,21633.908,0,0,0
