"Feature","mz","rt","Orbi_P_E2_EXBLANKA","Orbi_P_E2_EXBLANKB","Orbi_P_E2_EXBLANKC","Orbi_P_E2_Wasteblank4","Orbi_P_E2_Wasteblank5","Orbi_P_E2_Wasteblank6","Orbi_P_E2_WS03A","Orbi_P_E2_WS03B","Orbi_P_E2_WS03C"
"2448",219.10161,3.045,0,1265,1755,801,3407,1231,33979,54186,41102
"2449",219.10202,7.794,75355,70745,59711,83227,72984,81014,69396,61737,84547
"2450",219.10222,4.928,97647,79894,95123,86747,81232,82303,93184,90387,106659
"2451",219.11316,2.6,0,0,0,0,1279,0,304920,321661,327880
"2452",219.11694,6.051,113720,131221,139433,135464,151216,124106,139931,165667,159203
"2453",219.11703,7.902,189530,158848,234286,132525,165085,168334,159643,169643,205564
"2454",219.11716,5.918,183152,225408,113120,172739,177151,169520,187381,173973,233220
"2455",219.11719,6.792,437113,420222,403733,429075,401909,372251,415602,394814,457258
"2456",219.11719,7.737,411027,443532,413353,450942,151950,417288,467395,452878,505978
"2457",219.11723,8.381,396801,394639,432516,373270,419232,358760,451456,441748,441009
"2458",219.11732,6.176,2591443,2776240,3023142,2737950,2738813,2678165,3024602,3078169,3202147
"2459",219.11734,6.948,203726,192048,164613,199936,180179,184346,182531,214432,211892
"2460",219.1174,7.134,207289,244836,226152,216853,197683,216515,206425,237103,241992
"2461",219.15955,5.401,121351,119320,118071,121633,110039,111806,121175,110470,140825
"2462",219.17067,0.521,8046,4934,7634,19055,5088,5211,98069,87427,77407
"2463",219.17094,2.807,594839,73368,90403,4679,7071,4570,17312,18290,13569
"2464",219.17102,2.257,137773,7395,11865,5453,3427,6169,7536,4342,5834
"2465",219.1748,7.487,4464,34896,16120,22010,18758,12032,397236,422754,368971
"2466",219.17509,9.047,133246,24329,19991,2107,5022,7041,19010,9053,13171
"2467",219.19588,7.214,129012,153700,134748,120411,95205,121926,161845,139830,198423
"2468",219.21133,8.661,196817,11433,15045,0,0,0,2375,7757,1675
"2469",219.21159,7.342,47631,0,0,2036,0,0,1588,0,0
"2470",219.89833,0.426,142035,131715,121610,136398,113237,134814,82623,82704,381277
"2471",219.89839,0.795,478266,513364,279142,400541,445222,675377,323933,270475,399914
"2472",219.89842,0.578,162448,165083,136495,155983,128998,139021,25089,0,22770
"2473",219.94876,11.864,132140,55747,140747,85468,78106,107164,31916,87139,42359
"2474",220.04973,0.587,1385,3993,3576,2238,1623,2997,123022,129592,180145
"2475",220.05847,2.067,2133,1484,2119,3576,0,3132,220011,226174,173752
"2476",220.0607,2.559,0,0,1459,2828,1370,0,66592,60577,70258
"2477",220.08473,1.815,0,0,0,0,1550,0,104813,100509,109936
"2478",220.10625,0.469,2473,12786,2136,5544,13192,2527,232856,191093,137108
"2479",220.10832,1.373,2088,0,0,0,0,1411,46405,44299,30838
"2480",220.11844,0.583,6125,2304,6920,6818,23449,24656,484029,588647,560892
"2481",220.11844,1.608,9105,8633,1941,1466,3520,9520,975495,962043,897504
"2482",220.13124,7.477,10796116,368601,153802,13235,12065,20360,28449,36713,9482
"2483",220.13127,5.534,198510,9500,11715,26944,7525,11624,19953,33423,21038
"2484",220.13139,6.991,543746,8520,12680,10528,10761,17528,13706,8246,16775
"2485",220.13141,9.084,316835,77597,61684,22894,16769,9233,32663,64383,64828
"2486",220.1315,6.504,1835342,47046,17738,19556,12193,4385,15234,15093,23301
"2487",220.13162,4.003,2861390,260657,150998,10225,7946,10925,36231,45655,27551
"2488",220.13173,3.597,297699,41075,24878,22302,5734,14521,28149,22475,26256
"2489",220.13364,5.314,49507,10614,13861,10692,23776,10404,1065695,1127304,1109805
"2490",220.93475,1.454,266006,540863,471495,210480,299684,233855,389153,399469,627757
"2491",220.93509,4.941,293407,424278,299413,287661,347216,608194,471237,569921,559885
"2492",220.9351,1.776,224177,181177,208662,188691,246137,164968,240136,385855,317573
"2493",220.93513,11.65,10311437,10860185,10603233,9781009,9733852,10056297,9611777,10577946,10543820
"2494",220.93518,0.475,4610552,4370035,4482254,3813045,4039705,3911019,919320,873985,1512117
"2495",220.93518,7.582,750062,268797,668562,395912,276813,449670,560097,359952,369397
"2496",220.93521,4.806,140708,225636,455962,145674,791150,190556,342368,293886,563973
"2497",220.9353,0.622,1037193,1485206,1166956,1284746,1657911,915188,99925,255246,34956
"2498",220.93546,3.519,594146,346812,593421,402321,292411,329762,354075,178539,266772
"2499",221.09206,1.46,1990,0,0,0,0,0,212239,196288,174306
"2500",221.09221,1.823,0,2386,0,2747,0,0,243097,247792,243564
