Compound,mz,kmd,rt,Orbi_P_E2_EXBLANKA,Orbi_P_E2_EXBLANKB,Orbi_P_E2_EXBLANKC,Orbi_P_E2_WS03A,Orbi_P_E2_WS03B,Orbi_P_E2_WS03C,Orbi_P_E2_Wasteblank4,Orbi_P_E2_Wasteblank5,Orbi_P_E2_Wasteblank6,cor
1127,434.1873011,0.18730110000001332,0.5381795,0,0,0,50056.785,56600.246,52610.082,0,0,0,TRUE
11298,784.4495807,0.44958069999995587,4.9649863,0,0,0,3253.045,4162.4053,3400.9214,0,0,0,TRUE
11300,789.4056932,0.40569319999997333,4.967076,0,0,0,759.51636,826.0293,762.7673,0,0,0,TRUE
11328,589.2725641,0.2725640999999541,4.9854703,0,0,0,2242.6172,1928.3491,1916.2897,0,0,0,TRUE
11337,607.1993489,0.19934890000001815,4.9834332,0,0,0,2525.56,3103.5476,2849.598,0,0,0,TRUE
11339,698.183702,0.18370200000003933,4.983432,0,0,0,1470.4473,1432.732,1530.7137,0,0,0,TRUE
11346,348.2754624,0.2754623999999808,4.984076,3190.5422,1409.5138,1537.624,20084.75,21263.473,19356.395,992.75006,1266.559,1315.5969,TRUE
11353,568.2594212,0.2594212000000198,4.985456,0,0,0,57676.914,63251.453,59124.707,0,0,0,TRUE
11355,613.2077998,0.20779979999997522,4.9854574,0,0,0,15959.403,17192.889,16242.551,0,0,0,TRUE
11361,591.2254205,0.2254205000000411,4.9854736,0,0,0,19634.574,21633.816,20881.594,0,0,0,TRUE
11407,487.2690032,0.269003199999986,5.003822,0,0,0,1008.63617,963.6547,711.27893,0,0,0,TRUE
11411,525.2264852,0.22648519999995642,5.005854,0,0,0,2978.5715,3482.5303,2630.2422,0,0,0,TRUE
11417,628.280595,0.2805949999999484,5.0078835,0,0,0,5318.6931,5888.5461000000005,5251.0717,0,0,0,TRUE
11418,611.2543217,0.2543216999999913,5.007923,0,0,0,4345.591460000001,5519.7733,5100.647,0,0,0,TRUE
11428,504.2965399,0.2965399000000275,5.0171967,0,0,0,10294.663,11862.79,9542.9,0,0,0,TRUE
11460,373.1971921,0.1971920999999952,5.0364737999999996,0,0,0,2212.1726,1876.6572,2358.8396,0,0,0,TRUE
11465,311.2224955,0.22249549999997953,5.0382185,112.71867,108.998344,74.46626,7540.479,9604.403,8607.779,128.47919,133.0725,96.96561,TRUE
1149,195.9127032,0.9127032000000099,0.5404738,484.75645099999997,952.043322,716.59499,9415.565,12022.185,9996.014,1076.630245,1178.2329499999998,1161.332256,TRUE
11491,435.2540658,0.254065799999978,5.025478,0,0,0,12144.108,17476.523,12752.078,0,0,0,TRUE
11521,621.3659999,0.3659999000000198,5.0611806,0,0,0,536.53516,493.76752,501.46768,0,0,0,TRUE
11526,643.3470652,0.34706519999997454,5.0715795,0,0,0,206.00328,158.35718,134.31548,0,0,0,TRUE
11532,589.2102216,0.21022159999995438,5.0736156,0,0,0,1375.7737,1457.7627,1386.7626,0,0,0,TRUE
11536,584.2545325,0.25453249999998206,5.0761867,0,0,0,19846.422,22125.895,20548.87,0,0,0,TRUE
11584,546.3073168,0.30731679999996686,5.1163793,0,0,0,3790.1204,3650.1526,3435.7,0,0,0,TRUE
1159,309.1295039,0.1295038999999747,0.5401073,0,0,0,416809.88,424810,409413.7,0,0,0,TRUE
11599,567.2357104,0.2357104000000163,5.1226153,0,0,0,1407.1426,1742.2158,1387.9666,0,0,0,TRUE
11614,496.276622,0.27662199999997483,5.128782,0,0,0,1002.4918,1203.3517,1024.3018,0,0,0,TRUE
11621,599.3242265,0.32422650000000885,5.133343,0,0,0,1558.269,1677.5662,1357.4197,0,0,0,TRUE
11632,655.2904118,0.2904118000000153,5.1353664,0,0,0,9832.449,10880.5779,8683.6856,0,0,0,TRUE
11662,517.2266497,0.2266497000000527,5.1479497,0,0,0,14253.519,15823.843,15603.1875,0,0,0,TRUE
1175,282.1187762,0.11877620000001343,0.54203445,0,0,0,106208.22,114640.516,108034.414,0,0,0,TRUE
11753,767.4235891,0.4235890999999583,5.2003345,0,0,0,2486.4595,2813.8516,2913.9812,0,0,0,TRUE
11764,784.4499154,0.44991540000000896,5.2023735,0,0,0,117396.71,129171.69,125041.65,0,0,0,TRUE
11767,271.2276737,0.2276737000000253,5.2098994,199.05577,242.82237,72.21146,3664.4685,3724.482,3930.8198,133.77869,99.04113,168.35304,TRUE
11773,805.3786079,0.37860790000002,5.2044163,0,0,0,2823.1545,3213.8694,2878.3708,0,0,0,TRUE
