id,rt,mz
pos_581,0.881,132.10223
pos_583,0.601,132.10226
pos_5833,4.986,348.27505
pos_584,0.828,132.10228
pos_6263,2.308,365.06412
pos_5846,2.308,349.08963
pos_5847,2.239,349.08972
pos_5929,4.866,351.21457
pos_7592,4.724,433.23828
pos_5930,4.712,351.21478
pos_5931,5.039,351.215
pos_5978,1.841,353.08673
pos_6516,1.841,375.06912
pos_6016,2.179,355.10275
pos_6018,1.841,355.10278
pos_6067,3.973,357.18903
pos_6138,2.179,360.12955
pos_6142,8.075,360.18109
pos_6229,1.451,364.16077
pos_6262,2.239,365.06412
pos_6273,8.073,365.13654
pos_6275,7.825,365.13678
pos_6278,3.244,365.17184
pos_6297,5.634,365.27811
pos_6299,4.14,366.13187
pos_6332,1.903,367.10059
pos_6333,2.128,367.13638
pos_6336,2.302,367.15076
pos_6343,3.737,367.2099
pos_6382,2.195,369.09482
pos_6385,1.449,369.11627
pos_6389,2.308,369.11862
pos_6390,2.702,369.11868
pos_6394,2.248,369.16629
pos_6395,2.118,369.1669
pos_7645,2.395,436.1825
pos_6494,2.389,374.14514
pos_6556,2.179,377.08478
pos_6558,2.233,377.08484
pos_6928,2.462,395.07455
pos_6599,2.462,379.1004
pos_662,1.162,136.06189
pos_664,0.584,136.06206
pos_6642,0.548,381.0798
pos_665,0.811,136.06209
pos_667,2.64,136.07603
pos_6691,1.099,383.14554
pos_670,0.982,137.04611
pos_6708,3.134,384.14496
pos_7185,2.574,409.18399
pos_6774,2.574,387.20193
pos_6814,3.91,389.17142
pos_6875,1.841,393.05872
pos_6917,4.407,394.22293
pos_7008,5.964,399.23227
pos_7188,3.196,409.18439
pos_7239,2.88,412.21906
pos_7286,2.669,415.13702
pos_7317,2.162,417.13715
pos_7323,5.964,417.24298
pos_7938,4.866,453.2637
pos_7324,4.862,417.24301
pos_7627,6.686,435.25378
pos_7328,6.686,417.24329
pos_7353,6.652,419.25867
pos_7354,6.129,419.25876
pos_8246,6.125,472.3067
pos_7356,6.471,419.25894
pos_7358,5.326,419.25903
pos_9518,5.326,570.27502
pos_7373,2.46,420.18707
pos_7375,2.389,420.18735
pos_7378,1.895,420.22357
pos_7380,2.266,420.22366
pos_7470,2.574,425.15778
pos_7474,1.895,425.17886
pos_7913,5.257,452.28012
pos_7624,5.257,435.25351
pos_7625,5.964,435.25372
pos_7628,4.872,435.25381
pos_7630,4.054,435.25397
pos_7631,5.344,435.25397
pos_7632,4.126,435.254
pos_7633,5.761,435.254
pos_7634,5.458,435.25403
pos_7636,6.394,435.25421
pos_7666,5.11,437.2692
pos_7667,6.123,437.26935
pos_7671,6.686,437.26956
pos_7673,6.776,437.26956
pos_7675,6.368,437.26968
pos_7677,6.222,437.26987
pos_7694,0.53,439.14294
pos_7702,3.891,439.28546
pos_7731,4.419,441.30042
pos_7742,2.654,442.22919
pos_7886,3.783,451.24866
pos_7887,6.295,451.24872
pos_7890,4.178,451.2489
pos_7892,5.705,451.24899
pos_7937,5.449,453.26358
pos_7940,4.048,453.26404
pos_7941,5.57,453.26419
pos_7944,6.686,453.26431
pos_8206,6.7,470.29141
pos_7945,4.983,453.26434
pos_9110,4.983,533.22156
pos_8581,4.751,493.25732
pos_7949,4.751,453.26465
pos_7972,6.686,454.2959
pos_7987,6.779,455.27975
pos_7988,6.973,455.28015
pos_8002,8.144,456.3118
pos_8037,3.818,459.22342
pos_8104,2.592,464.21387
pos_8119,3.091,465.10391
pos_8456,3.091,487.08588
pos_8181,4.178,469.25952
pos_8437,4.178,486.28604
pos_8184,4.724,469.25964
pos_8900,4.718,515.21112
pos_8185,3.781,469.25967
pos_8201,5.57,470.29108
pos_8228,4.279,471.27493
pos_8229,4.983,471.27524
pos_823,1.508,144.06572
pos_8570,6.668,493.23593
pos_8243,6.652,472.30664
