Feature,m/z,RT
5027,234.1344334,2.2990549
5182,232.1913683,2.3617234
5273,154.0505376,2.403589
5420,168.1388607,2.4626362
5421,186.1494215,2.4625416
5341,309.0744808,2.4608378
5329,341.1582867,2.4749908
5488,409.1843442,2.5128207
5605,189.1302958,2.5440853
5622,225.1491211,2.564473
5626,207.1383695,2.5740647
5728,355.1166189,2.6134236
5727,339.1424487,2.6234064
5738,136.0761805,2.6490889
5726,334.1900072,2.6628458
5901,400.218907,2.6879158
5900,124.0764434,2.7048616
5874,177.0547878,2.7037811
5968,231.0859324,2.7412508
6091,126.0919313,2.7928586
6120,191.1436339,2.8067782
6121,209.154168,2.8248985
6385,355.1164006,2.8947716
6353,323.0902306,2.9442358
6437,381.0801232,2.9694142
6496,285.1326626,3.006894
6712,353.1583705,3.0452042
6708,348.2048416,3.061109
6759,237.0742894,3.098611
7002,409.1852571,3.170946
7117,219.1003116,3.2342951
7265,393.189426,3.2873628
7445,409.1850115,3.3388462
7553,355.1740191,3.3977075
7568,393.1896016,3.4093022
7616,404.229114,3.4160848
7606,409.185293,3.4384058
7779,135.1173342,3.456027
7769,211.1698675,3.4695206
7798,219.1004623,3.4670622
7799,228.1599075,3.4768672
7797,214.1442508,3.5021963
7770,395.2055371,3.510286
7876,146.0605332,3.5319016
8404,367.2111168,3.7621357
8583,621.3717119,3.7595658
8532,283.1164363,3.786694
9005,149.0602218,3.9631217
9001,105.0341737,3.9607396
8933,323.185549,3.9592836
9029,357.1900751,4.0089793
9086,297.1108699,4.027352
9341,357.1900951,4.046714
9288,221.154236,4.096482
9284,335.1843761,4.099755
9289,351.1587811,4.108211
9407,287.1260558,4.1639905
9565,365.1951373,4.1940002
9413,247.1326571,4.195859
9558,343.2118605,4.2058673
9890,343.2119661,4.3927507
10109,281.1372581,4.400613
9882,365.1951078,4.401775
9854,423.2376454,4.4032707
10095,441.2999739,4.4023447
10064,297.1319875,4.4091372
9951,321.1459544,4.4084187
10638,351.2162154,4.685611
10600,346.2597415,4.692992
10645,293.2118287,4.691053
10637,311.2223744,4.710852
11116,351.2162524,4.873534
11148,452.2793493,4.871665
11263,339.1785712,4.9082084
11233,261.1105527,4.9229136
11262,355.1536487,4.9333286
11346,348.2754624,4.984076
11332,353.2312115,5.006258
11464,293.2118063,5.029705
11465,311.2224955,5.0382185
11466,351.2162059,5.052236
11561,199.0751121,5.079542
11461,367.1904475,5.0872006
11531,277.0842135,5.0943985
11542,163.0759006,5.1271152
11696,105.034154,5.1478353
11751,506.3183481,5.184754
11869,488.2279108,5.2581744
11862,365.2326667,5.2748423
11887,299.1635568,5.279938
11988,220.132951,5.327482
12137,520.3326776,5.389532
12230,181.1228488,5.4259205
12226,198.1494521,5.4187007
12287,552.2658001,5.4189105
12231,203.10571,5.4482703
12307,292.1759079,5.4767995
12315,313.1045196,5.4910474
12462,355.188957,5.520905
12499,293.2116438,5.563032
12482,333.2055461,5.5615106
12733,331.1903939,5.6593227
12699,291.1957369,5.6742344
12835,520.3331764,5.6827283
12732,309.2064867,5.6945767
12899,331.1900356,5.735719
12893,291.1960421,5.7417746
13218,277.180034,5.9132867
13210,335.1839965,5.9174213
13312,434.2743061,5.915686
13379,281.1538311,5.9326954
13209,295.1905923,5.929709
13193,261.147228,5.9341884
13344,263.143766,5.971151
13382,435.2502943,5.9913096
13597,486.2856494,6.0247087
13630,307.1902918,6.1089983
13711,365.2315213,6.117962
13629,289.1798513,6.123905
13762,321.166829,6.1469398
13856,306.1919736,6.1701317
13900,275.203221,6.1758432
13858,327.1212262,6.190937
13855,289.1646461,6.2016034
13982,335.2217756,6.231371
13983,313.2382128,6.2422915
14099,329.1748398,6.252852
14368,249.1854293,6.4543095
14535,389.1968406,6.5341187
14534,411.1801964,6.5449047
14735,504.319716,6.5832396
14970,391.2471791,6.7151427
14948,437.2725036,6.7356095
15016,279.1955012,6.738343
14972,470.2976049,6.746442
15359,345.2062117,6.8737273
15347,361.1791886,6.8948464
15646,327.2173779,6.979442
15643,349.1993623,7.009378
16118,277.1796208,7.190407
16150,393.2636558,7.194916
16086,353.2698181,7.186977
16121,317.1737775,7.2410283
16125,507.2117175,7.2542257
16364,407.1825366,7.2907043
16430,520.3375859,7.3066993
16829,275.2015993,7.467358
16830,293.2112921,7.4771304
17002,293.2110879,7.570766
17706,277.216486,7.942362
17702,295.2274391,7.9636745
17705,317.2100904,7.972155
17860,277.2164052,8.052493
17865,295.2272771,8.063875
18105,295.227391,8.129548
18444,321.1856876,8.294482
20370,339.174668,9.19442
20385,323.2001146,9.213481
21735,287.2388072,9.926572
22948,142.092032,10.646086
