"Feature","mz","rt","Orbi_P_E2_EXBLANKA","Orbi_P_E2_EXBLANKB","Orbi_P_E2_EXBLANKC","Orbi_P_E2_Wasteblank4","Orbi_P_E2_Wasteblank5","Orbi_P_E2_Wasteblank6","Orbi_P_E2_WS03A","Orbi_P_E2_WS03B","Orbi_P_E2_WS03C"
"9162",537.20935,2.785,0,0,0,0,0,0,486582,503777,440979
"9163",537.25256,5.286,0,0,0,0,0,0,111495,117862,102537
"9164",537.25348,4.279,0,0,0,0,0,0,100441,108672,106151
"9166",537.30475,7.292,0,0,0,0,0,0,158588,168096,139136
"9183",538.22961,3.021,0,0,0,0,0,0,171715,186362,170881
"9184",538.22961,3.362,0,0,0,0,0,0,255930,278686,251476
"9185",538.23071,3.299,0,0,0,0,0,0,83898,79647,63680
"9198",540.33295,4.916,0,0,0,0,0,1449,203971,235896,199494
"9204",541.13245,3.534,0,0,0,0,0,0,26643,28126,36475
"9215",542.26086,2.862,0,0,0,0,0,0,107779,110279,102882
"9227",543.21887,5.326,0,0,0,0,0,0,134491,128066,156097
"9233",544.15784,3.038,0,0,0,0,0,0,27548,26188,23833
"9247",545.25037,6.656,0,0,0,0,0,0,150177,155693,118718
"9252",546.21887,1.972,0,1477,0,0,0,0,41313,42973,36961
"9253",546.30762,3.657,1638,1428,2562,1538,0,3295,47206,35445,37794
"9254",546.30768,5.673,0,0,0,0,0,0,302731,323764,309264
"9255",546.30774,5.116,0,0,0,0,0,0,227947,219970,206198
"9256",546.32861,7.508,0,0,0,0,0,0,33011,36696,32032
"9262",547.30133,4.724,0,0,0,0,0,0,23104,24315,24379
"9283",549.21631,4.784,0,0,0,0,0,0,591025,654964,712881
"9290",550.15869,2.596,0,0,0,0,0,0,80151,80061,92417
"9293",550.25226,5.053,0,0,0,0,0,0,148626,166868,146237
"9301",551.14362,4.864,0,0,0,0,0,0,300390,380475,364097
"9303",551.21722,5.966,0,0,0,0,0,0,272555,288526,224126
"9304",551.22473,3.136,0,0,0,0,0,0,279827,308126,268844
"9305",551.23151,4.05,0,0,0,0,0,0,2191092,2388536,2240272
"9309",551.23212,4.983,0,0,0,0,0,0,10055728,11279907,10276067
"9310",551.23218,4.471,0,0,0,0,0,0,257681,290207,250440
"9313",551.26843,5.124,0,0,0,0,0,0,127617,129710,111648
"9326",552.26459,5.453,4747,2200,9581,7005,8709,13283,153321,167236,164729
"9327",552.26501,6.424,0,0,0,0,0,0,117769,133516,117478
"9328",552.33307,4.303,0,0,0,0,0,0,36169,40518,45072
"9337",553.2475,5.319,0,0,0,0,0,0,69932,97951,78013
"9340",553.24817,5.927,0,0,0,0,0,0,737913,837778,787704
"9342",553.29987,5.779,0,0,0,0,0,0,207304,227067,196512
"9346",554.28052,6.234,0,0,0,0,0,0,77341,84980,73869
"9348",554.2879,5.883,0,0,0,0,0,0,162281,165434,157189
"9352",554.31812,2.744,0,0,0,0,0,0,37971,43983,34824
"9357",555.14862,3.953,0,0,0,0,0,0,230227,234632,256489
"9359",555.26471,5.377,0,0,0,0,0,0,90852,83962,85289
"9362",555.34326,6.656,0,0,0,0,0,0,53601,56979,39651
"9364",556.19452,3.518,0,0,0,0,0,0,41940,47266,35518
"9365",556.19464,3.335,0,0,0,0,0,0,111241,128169,106995
"9366",556.23407,3.639,0,0,0,0,0,0,45910,43197,46377
"9368",556.23975,2.506,0,0,0,0,0,0,26147,34114,32714
"9369",556.29572,5.642,0,0,0,0,0,0,1295416,1357485,1296884
"9381",557.16425,3.373,0,0,0,0,0,0,51684,59228,57355
"9387",557.38513,4.008,0,0,0,0,0,0,43074,40122,41722
"9402",559.18073,3.613,0,0,0,0,0,0,23895,31191,18582
"9405",559.19385,1.835,0,0,0,0,0,0,589475,691989,626418
"9416",560.25641,2.148,0,0,0,0,0,0,541668,553716,515271
"9428",561.2467,5.773,0,0,0,0,0,0,99085,110839,91717
"9429",561.32666,3.737,0,0,0,0,0,0,32546,43034,42441
"9434",562.23956,6.116,0,0,0,0,0,0,21217,25316,14873
"9435",562.24164,6.66,0,0,0,0,0,0,90140,88762,81776
"9437",562.25208,3.332,0,0,0,0,0,0,31518,35919,35513
"9439",562.2724,2.346,0,0,0,0,0,0,437957,452282,435933
"9440",562.2724,2.408,0,0,0,0,0,0,817299,839771,617713
"9454",565.21039,2.16,0,0,0,0,0,0,114595,109203,115916
"9456",565.21228,4.015,0,0,0,0,0,0,370425,393585,359430
"9458",565.26721,4.228,0,0,0,0,0,0,63391,66980,68815
"9466",566.24231,3.788,0,0,0,0,1204,0,77407,66218,64144
"9481",567.22754,3.781,0,0,0,0,0,0,13943010,14400918,13471881
"9483",567.22778,4.211,0,0,0,0,0,0,483591,535425,466205
"9490",568.22552,2.028,0,0,0,0,0,0,176262,187754,161482
"9493",568.25934,6.123,0,0,0,0,0,0,3858497,4440262,4016289
"9495",568.25964,5.525,0,0,0,0,0,0,828419,1091287,833055
"9497",568.26007,4.596,0,0,0,0,0,0,152857,168309,166309
"9503",569.09833,4.399,0,0,0,0,0,0,38540,69565,50169
"9504",569.15076,4.406,0,0,0,0,0,0,618368,626052,631826
"9507",569.2428,4.406,0,0,0,0,0,0,88161704,90194272,88830664
"9508",569.24286,4.116,0,0,0,0,0,0,616131,634866,576278
"9509",569.24347,3.539,0,0,0,0,0,0,821050,897507,747633
"9510",569.33636,4.406,0,0,0,0,0,0,551259,575712,569833
"9513",570.18213,5.326,0,0,0,0,0,0,77325,83598,69753
"9514",570.24719,4.324,0,0,0,0,0,0,202135,314252,233362
"9516",570.27496,5.793,0,0,0,0,0,0,926749,1002520,948682
"9517",570.27502,5.202,0,0,0,0,0,0,2495776,2819680,2648039
"9518",570.27502,5.326,0,0,0,0,0,0,16035403,17713990,16017606
"9519",570.27582,4.648,0,0,0,0,0,0,1611278,1754745,1670541
"9520",570.27673,4.755,0,0,0,0,0,0,560672,647649,604467
"9521",570.36841,5.326,0,0,0,0,0,0,66705,94866,75808
"9532",572.22046,1.809,0,0,0,0,0,0,275424,300388,263107
"9533",572.23547,2.46,0,0,0,0,0,0,715450,684344,638038
"9535",572.23645,2.606,0,0,0,0,0,0,142543,143778,134792
"9546",573.20697,3.132,0,0,0,0,0,0,524454,506097,499578
"9547",573.20752,2.948,0,0,0,0,0,0,181491,172780,155664
"9553",574.27246,2.53,0,0,0,0,0,0,3080689,3077814,2952863
"9554",574.27252,2.586,0,0,0,0,0,0,1383398,1466520,1376931
"9556",574.33893,3.579,0,0,0,0,0,0,162685,166860,185151
"9557",574.33917,3.482,0,0,0,0,0,0,333173,322160,296395
"9558",574.33954,3.824,2374,0,0,0,0,0,159619,166616,115756
"9566",575.17474,2.497,0,0,0,0,0,0,323443,304893,297521
"9576",576.28754,2.888,0,0,0,0,0,0,48601,55787,51294
"9577",576.2879,2.82,0,0,0,0,0,0,175820,179776,164216
"9578",576.28815,2.745,0,0,0,0,0,0,59028,58863,62341
"9584",577.19025,2.03,0,0,0,0,0,0,86261,98715,65584
"9586",577.21814,5.262,0,0,0,0,0,0,96641,91298,109710
"9588",577.24133,4.178,0,0,0,0,0,0,76608,75263,67697
"9589",577.26898,5.833,0,0,0,0,0,0,136768,142899,138851
"9607",580.1911,3.157,0,0,0,0,0,0,34075,28930,29076
"9608",580.27545,4.068,0,0,0,0,0,0,26784,35296,31111
"9623",582.21991,3.288,0,0,0,0,0,0,149755,160267,153356
"9626",582.24084,2.213,0,0,0,0,0,0,611333,617186,543093
"9627",582.24084,2.267,0,0,0,0,0,0,793873,830832,758264
"9628",582.24152,2.399,0,0,0,0,0,0,113196,107840,112613
"9634",583.18048,3.187,0,0,0,0,0,0,15240,23731,25588
"9635",583.22186,4.017,0,0,0,0,0,0,328588,358189,308343
"9636",583.2226,3.62,0,0,0,0,0,0,158282,159655,153659
"9638",583.25897,4.738,0,0,0,0,0,0,43389,48199,41802
"9640",584.25348,4.386,0,0,0,0,0,0,414460,424045,423451
"9642",584.25421,6.094,0,0,0,0,0,0,253336,295775,289962
"9643",584.25427,5.846,0,0,0,0,0,0,600534,614082,689837
"9645",584.25439,5.219,0,0,0,0,0,0,587838,673683,647349
"9646",584.25458,5.072,0,0,0,0,0,0,1209964,1320402,1251545
"9648",584.25513,4.789,0,0,0,0,0,0,466083,580328,454383
"9661",585.23267,4.142,0,0,0,0,0,0,156935,196915,169999
"9662",585.237,3.735,0,0,0,0,0,0,2483582,2261454,2012134
"9665",585.23865,3.955,0,0,0,0,0,0,368128,411381,387905
"9666",585.34344,3.745,0,0,0,0,0,0,49449,58713,52701
"9670",586.26965,4.86,0,0,0,0,0,0,107908024,122344144,110386392
