Pathway,Mummichog_Pvals,GSEA_Pvals,Combined_Pvals,Run,N_features
Vitamin B9 (folate) metabolism,0.01498,0.5246,0.04594,430,1927
Purine metabolism,0.1961,0.0137,0.01859,431,1927
Vitamin B9 (folate) metabolism,0.0271,0.7,0.09418,431,1927
Purine metabolism,0.035,0.0137,0.00414,432,1927
Vitamin B9 (folate) metabolism,0.07333,0.2941,0.1043,432,1927
Purine metabolism,0.1437,0.04878,0.04179,433,1927
Vitamin B9 (folate) metabolism,0.2417,0.62,0.4343,433,1927
Purine metabolism,0.2011,0.01087,0.01557,434,1927
Vitamin B9 (folate) metabolism,0.141,0.5,0.2574,434,1927
Purine metabolism,0.03364,0.04,0.01024,435,1927
Vitamin B9 (folate) metabolism,0.1657,0.5,0.2893,435,1927
Purine metabolism,0.1898,0.08065,0.07928,436,1927
Vitamin B9 (folate) metabolism,0.05252,0.3214,0.08578,436,1927
Purine metabolism,0.03164,0.05085,0.01196,437,1927
Vitamin B9 (folate) metabolism,0.05512,0.6111,0.1479,437,1927
Purine metabolism,0.06417,0.01587,0.00803,438,1927
Vitamin B9 (folate) metabolism,0.1764,0.7586,0.403,438,1927
Purine metabolism,0.09031,0.01429,0.00988,439,1927
Vitamin B9 (folate) metabolism,0.1993,0.6792,0.406,439,1927
Purine metabolism,0.1545,0.12,0.09248,440,1927
Vitamin B9 (folate) metabolism,0.1056,0.5814,0.2328,440,1927
Purine metabolism,0.3569,0.01333,0.0302,441,1927
Vitamin B9 (folate) metabolism,0.2349,0.9355,0.5528,441,1927
Purine metabolism,0.0253,0.02,0.00435,442,1927
Vitamin B9 (folate) metabolism,0.09854,0.7609,0.2692,442,1927
Purine metabolism,0.04,0.01235,0.00425,443,1927
Vitamin B9 (folate) metabolism,0.2261,0.3103,0.2566,443,1927
Purine metabolism,0.00656,0.0137,0.00093000000000000005,444,1927
Vitamin B9 (folate) metabolism,0.1707,0.4561,0.2767,444,1927
Purine metabolism,0.02239,0.01316,0.00269,445,1927
Vitamin B9 (folate) metabolism,0.09396,0.4783,0.1844,445,1927
Purine metabolism,0.1543,0.03636,0.03469,446,1927
Vitamin B9 (folate) metabolism,0.2104,0.7736,0.4583,446,1927
Purine metabolism,0.02482,0.02941,0.006,447,1927
Vitamin B9 (folate) metabolism,0.2181,0.5357,0.3676,447,1927
Purine metabolism,0.3857,0.1558,0.2291,448,1927
Vitamin B9 (folate) metabolism,0.06061,0.7609,0.188,448,1927
Purine metabolism,0.1396,0.03797,0.03307,449,1927
Vitamin B9 (folate) metabolism,0.1314,0.4,0.2074,449,1927
Purine metabolism,0.1952,0.08824,0.08718,450,1927
Vitamin B9 (folate) metabolism,0.04762,0.5556,0.1226,450,1927
Purine metabolism,0.2436,0.01449,0.02346,451,1927
Vitamin B9 (folate) metabolism,0.3866,0.7917,0.6684,451,1927
Purine metabolism,0.1406,0.01429,0.01449,452,1927
Vitamin B9 (folate) metabolism,0.2572,0.6949,0.4865,452,1927
Purine metabolism,0.2391,0.6133,0.4282,453,1927
Vitamin B9 (folate) metabolism,0.2436,0.1754,0.1774,453,1927
Purine metabolism,0.04521,0.02941,0.01014,454,1927
Vitamin B9 (folate) metabolism,0.01302,0.4127,0.03346,454,1927
Purine metabolism,0.2994,0.01316,0.02576,455,1927
Vitamin B9 (folate) metabolism,0.07866,0.1538,0.06551,455,1927
Purine metabolism,0.09614,0.02564,0.01727,456,1927
Vitamin B9 (folate) metabolism,0.07524,0.7255,0.2133,456,1927
Purine metabolism,0.266,0.1667,0.1825,457,1927
Vitamin B9 (folate) metabolism,0.0135,0.4746,0.03876,457,1927
Purine metabolism,0.07463,0.08434,0.03819,458,1927
Vitamin B9 (folate) metabolism,0.07853,0.8226,0.2416,458,1927
Purine metabolism,0.2684,0.0125,0.02247,459,1927
Vitamin B9 (folate) metabolism,0.06805,0.5161,0.1527,459,1927
Purine metabolism,0.5211,0.01449,0.04444,460,1927
Vitamin B9 (folate) metabolism,0.9388,0.3256,0.668,460,1927
Purine metabolism,0.2099,0.07143,0.07797,461,1927
Vitamin B9 (folate) metabolism,0.1164,0.566,0.245,461,1927
Purine metabolism,0.2366,0.03774,0.05105,462,1927
Vitamin B9 (folate) metabolism,0.1847,0.4878,0.307,462,1927
Purine metabolism,0.07018,0.01351,0.00755,463,1927
Vitamin B9 (folate) metabolism,0.01005,0.7288,0.04333,463,1927
Purine metabolism,0.08189,0.0137,0.00874,464,1927
Vitamin B9 (folate) metabolism,0.04984,0.6613,0.1454,464,1927
Purine metabolism,0.06973,0.0303,0.01513,465,1927
Vitamin B9 (folate) metabolism,0.3257,0.2667,0.2991,465,1927
Purine metabolism,0.09331,0.03448,0.02168,466,1927
Vitamin B9 (folate) metabolism,0.00411,0.3699,0.01138,466,1927
Purine metabolism,0.2154,0.01613,0.02315,467,1927
Vitamin B9 (folate) metabolism,0.06152,0.7111,0.1806,467,1927
Purine metabolism,0.3139,0.04,0.06752,468,1927
Vitamin B9 (folate) metabolism,0.141,0.7097,0.3305,468,1927
Purine metabolism,0.0433,0.01351,0.00494,469,1927
Vitamin B9 (folate) metabolism,0.5752,0.6512,0.7424,469,1927
Purine metabolism,0.1003,0.02469,0.01733,470,1927
Vitamin B9 (folate) metabolism,0.05284,0.7414,0.1661,470,1927
Purine metabolism,0.4395,0.1111,0.1962,471,1927
Vitamin B9 (folate) metabolism,0.3304,0.9649,0.6832,471,1927
Purine metabolism,0.2846,0.05714,0.08324,472,1927
Vitamin B9 (folate) metabolism,0.01986,0.8627,0.08681,472,1927
Purine metabolism,0.04574,0.01408,0.00538,473,1927
Vitamin B9 (folate) metabolism,0.05763,0.3448,0.09774,473,1927
Purine metabolism,0.1166,0.03077,0.02378,474,1927
Vitamin B9 (folate) metabolism,0.6048,0.3636,0.553,474,1927
Purine metabolism,0.07259,0.01205,0.00703,475,1927
Vitamin B9 (folate) metabolism,0.4945,0.9778,0.8349,475,1927
Purine metabolism,0.03272,0.0625,0.01471,476,1927
Vitamin B9 (folate) metabolism,0.03624,0.4815,0.08809,476,1927
Purine metabolism,0.2486,0.01205,0.0204,477,1927
Vitamin B9 (folate) metabolism,0.3149,0.6271,0.5178,477,1927
Purine metabolism,0.1864,0.01429,0.01846,478,1927
Vitamin B9 (folate) metabolism,0.02915,0.4091,0.06474,478,1927
Purine metabolism,0.1906,0.04,0.04479,479,1927
Vitamin B9 (folate) metabolism,0.1905,0.3818,0.2634,479,1927
Purine metabolism,0.3424,0.0375,0.06877,480,1927
Vitamin B9 (folate) metabolism,0.2268,0.98,0.5566,480,1927
Purine metabolism,0.1219,0.07042,0.04944,481,1927
Vitamin B9 (folate) metabolism,0.2627,0.9455,0.5944,481,1927
Purine metabolism,0.1354,0.3284,0.1828,482,1927
Vitamin B9 (folate) metabolism,0.0489,0.8043,0.1666,482,1927
Purine metabolism,0.05395,0.04054,0.01558,483,1927
Vitamin B9 (folate) metabolism,0.1266,0.5849,0.2667,483,1927
Purine metabolism,0.04331,0.01205,0.00447,484,1927
Vitamin B9 (folate) metabolism,0.05351,0.6491,0.1514,484,1927
Purine metabolism,0.2961,0.03774,0.0614,485,1927
Vitamin B9 (folate) metabolism,0.1242,0.5192,0.2413,485,1927
Purine metabolism,0.2935,0.02985,0.05027,486,1927
Vitamin B9 (folate) metabolism,0.1551,0.8431,0.3967,486,1927
Purine metabolism,0.1044,0.03175,0.02224,487,1927
Vitamin B9 (folate) metabolism,0.02151,0.4255,0.05211,487,1927
Purine metabolism,0.00226,0.01163,3e-4,488,1927
Vitamin B9 (folate) metabolism,0.07489,0.431,0.1431,488,1927
Purine metabolism,0.4097,0.02469,0.05659,489,1927
Vitamin B9 (folate) metabolism,0.08959,0.3404,0.1369,489,1927
Purine metabolism,0.07104,0.01408,0.00791,490,1927
Vitamin B9 (folate) metabolism,0.01783,0.56,0.05598,490,1927
Purine metabolism,0.06631,0.01639,0.0085,491,1927
Vitamin B9 (folate) metabolism,0.4857,0.7347,0.7246,491,1927
Purine metabolism,0.01522,0.07042,0.0084,492,1927
Vitamin B9 (folate) metabolism,0.1297,0.4833,0.2363,492,1927
Purine metabolism,0.1875,0.01205,0.01603,493,1927
Vitamin B9 (folate) metabolism,0.1438,0.7222,0.339,493,1927
Purine metabolism,0.06355,0.05747,0.02415,494,1927
Vitamin B9 (folate) metabolism,0.1012,0.6222,0.2371,494,1927
Purine metabolism,0.06012,0.01282,0.0063,495,1927
Vitamin B9 (folate) metabolism,0.0546,0.5246,0.1304,495,1927
Purine metabolism,0.759,0.07353,0.2169,496,1927
Vitamin B9 (folate) metabolism,0.3089,0.383,0.3709,496,1927
Purine metabolism,0.1057,0.09722,0.05731,497,1927
Vitamin B9 (folate) metabolism,0.131,0.92,0.3756,497,1927
Purine metabolism,0.1303,0.01493,0.01409,498,1927
Vitamin B9 (folate) metabolism,0.09663,0.4545,0.1812,498,1927
Purine metabolism,0.07419,0.01351,0.00792,499,1927
Vitamin B9 (folate) metabolism,0.07851,0.1053,0.04791,499,1927
Purine metabolism,0.09922,0.07143,0.04216,500,1927
Vitamin B9 (folate) metabolism,0.0279,0.8167,0.109,500,1927
Purine metabolism,0.6234,0.02703,0.08566,501,1927
Vitamin B9 (folate) metabolism,0.285,0.8448,0.5836,501,1927
Purine metabolism,0.01443,0.02985,0.00377,502,1927
Vitamin B9 (folate) metabolism,0.1582,0.6607,0.3405,502,1927
Purine metabolism,0.2295,0.1356,0.1391,503,1927
Vitamin B9 (folate) metabolism,0.1458,0.4808,0.2565,503,1927
Purine metabolism,0.1805,0.02667,0.03051,504,1927
Vitamin B9 (folate) metabolism,0.01926,0.7593,0.0764,504,1927
Purine metabolism,0.08237,0.0122,0.00794,505,1927
Vitamin B9 (folate) metabolism,0.13,0.1935,0.1178,505,1927
Purine metabolism,0.03584,0.01587,0.00482,506,1927
Vitamin B9 (folate) metabolism,0.03765,0.8333,0.14,506,1927
Purine metabolism,0.1533,0.4478,0.2526,507,1927
Vitamin B9 (folate) metabolism,0.3766,0.907,0.7085,507,1927
Purine metabolism,0.03693,0.01316,0.00419,508,1927
Vitamin B9 (folate) metabolism,0.2752,0.3393,0.3148,508,1927
Purine metabolism,0.0772,0.0274,0.01514,509,1927
Vitamin B9 (folate) metabolism,0.2505,0.4386,0.3525,509,1927
Purine metabolism,0.2596,0.01449,0.02477,510,1927
Vitamin B9 (folate) metabolism,0.1248,0.4906,0.2322,510,1927
Purine metabolism,0.3323,0.02899,0.05436,511,1927
Vitamin B9 (folate) metabolism,0.06495,0.9333,0.2305,511,1927
Purine metabolism,0.1475,0.0375,0.03428,512,1927
Vitamin B9 (folate) metabolism,0.05182,0.2388,0.06672,512,1927
Purine metabolism,0.08553,0.01562,0.01018,513,1927
Vitamin B9 (folate) metabolism,0.08529,0.7333,0.2359,513,1927
Purine metabolism,0.2613,0.01136,0.02024,514,1927
Vitamin B9 (folate) metabolism,0.2041,0.9574,0.5145,514,1927
Purine metabolism,0.02088,0.01205,0.00234,515,1927
Vitamin B9 (folate) metabolism,0.4266,0.8864,0.7458,515,1927
Purine metabolism,0.1716,0.2714,0.1894,516,1927
Vitamin B9 (folate) metabolism,0.1103,0.4717,0.2058,516,1927
Purine metabolism,0.09778,0.01235,0.00932,517,1927
Vitamin B9 (folate) metabolism,0.1302,0.95,0.3823,517,1927
Purine metabolism,0.03066,0.0122,0.00333,518,1927
Vitamin B9 (folate) metabolism,0.04834,0.7568,0.1576,518,1927
Purine metabolism,0.0485,0.04598,0.01585,519,1927
Vitamin B9 (folate) metabolism,0.03689,0.5,0.0921,519,1927
Purine metabolism,0.3284,0.06944,0.109,520,1927
Vitamin B9 (folate) metabolism,0.692,0.9474,0.9324,520,1927
Purine metabolism,0.1365,0.04286,0.03592,521,1927
Vitamin B9 (folate) metabolism,0.1597,0.6038,0.322,521,1927
Purine metabolism,0.1019,0.04167,0.02744,522,1927
Vitamin B9 (folate) metabolism,0.0313,0.5345,0.08517,522,1927
Purine metabolism,0.1696,0.01316,0.01586,523,1927
Vitamin B9 (folate) metabolism,0.08728,0.3729,0.144,523,1927
Purine metabolism,0.1382,0.01587,0.01562,524,1927
Vitamin B9 (folate) metabolism,0.1349,0.6727,0.3084,524,1927
Purine metabolism,0.04234,0.025,0.00831,525,1927
Vitamin B9 (folate) metabolism,0.1054,0.625,0.245,525,1927
Purine metabolism,0.379,0.01408,0.03326,526,1927
Vitamin B9 (folate) metabolism,0.4278,0.9444,0.7702,526,1927
Purine metabolism,0.1457,0.01235,0.01317,527,1927
Vitamin B9 (folate) metabolism,0.5079,0.9231,0.824,527,1927
Purine metabolism,0.02575,0.01163,0.00273,528,1927
Vitamin B9 (folate) metabolism,0.04447,0.3793,0.08573,528,1927
Purine metabolism,0.2354,0.06557,0.07982,529,1927
Vitamin B9 (folate) metabolism,0.09087,0.825,0.2692,529,1927
Purine metabolism,0.03644,0.0641,0.01649,530,1927
Vitamin B9 (folate) metabolism,0.1448,0.9773,0.4182,530,1927
Purine metabolism,0.08853,0.02439,0.01541,531,1927
Vitamin B9 (folate) metabolism,0.09209,0.6182,0.2201,531,1927
Purine metabolism,0.08415,0.0137,0.00895,532,1927
Vitamin B9 (folate) metabolism,0.1836,0.6071,0.3561,532,1927
Purine metabolism,0.02148,0.01299,0.00256,533,1927
Vitamin B9 (folate) metabolism,0.5171,0.675,0.7165,533,1927
Purine metabolism,0.02551,0.02778,0.00585,534,1927
Vitamin B9 (folate) metabolism,0.1458,0.6939,0.333,534,1927
Purine metabolism,0.07901,0.02469,0.01412,535,1927
Vitamin B9 (folate) metabolism,0.1993,0.4483,0.3052,535,1927
Purine metabolism,0.3409,0.07576,0.1203,536,1927
Vitamin B9 (folate) metabolism,0.209,0.537,0.3577,536,1927
Purine metabolism,0.0597,0.01136,0.00563,537,1927
Vitamin B9 (folate) metabolism,0.214,0.8605,0.4957,537,1927
Purine metabolism,0.05453,0.03659,0.0144,538,1927
Vitamin B9 (folate) metabolism,0.07367,0.7869,0.2231,538,1927
Purine metabolism,0.06039,0.03846,0.01641,539,1927
Vitamin B9 (folate) metabolism,0.6764,0.7429,0.8483,539,1927
Purine metabolism,0.5373,0.01538,0.04789,540,1927
Vitamin B9 (folate) metabolism,0.06076,0.65,0.1671,540,1927
Purine metabolism,0.4281,0.2128,0.3094,541,1927
Vitamin B9 (folate) metabolism,0.02302,0.7857,0.09065,541,1927
Purine metabolism,0.4079,0.125,0.2027,542,1927
Vitamin B9 (folate) metabolism,0.3176,0.75,0.5799,542,1927
Purine metabolism,0.2793,0.01754,0.03096,543,1927
Vitamin B9 (folate) metabolism,0.5084,0.3273,0.4648,543,1927
Purine metabolism,0.09472,0.06494,0.03747,544,1927
Vitamin B9 (folate) metabolism,0.06306,0.5593,0.1532,544,1927
Purine metabolism,0.2271,0.03297,0.04414,545,1927
Vitamin B9 (folate) metabolism,0.5507,0.9846,0.8741,545,1927
Purine metabolism,0.04303,0.1304,0.03469,546,1927
Vitamin B9 (folate) metabolism,0.05099,0.3103,0.08143,546,1927
Purine metabolism,0.2934,0.01099,0.02172,547,1927
Vitamin B9 (folate) metabolism,0.1221,0.6739,0.2878,547,1927
Purine metabolism,0.04963,0.01587,0.00642,548,1927
Vitamin B9 (folate) metabolism,0.03613,0.4902,0.08916,548,1927
Purine metabolism,0.08221,0.01923,0.01178,549,1927
Vitamin B9 (folate) metabolism,0.0179,0.2444,0.02814,549,1927
Purine metabolism,0.00258,0.02439,6.7e-4,550,1927
Vitamin B9 (folate) metabolism,0.1019,0.1091,0.06115,550,1927
Purine metabolism,0.04664,0.02632,0.00946,551,1927
Vitamin B9 (folate) metabolism,0.2048,0.4444,0.3091,551,1927
Purine metabolism,0.1586,0.03226,0.0321,552,1927
Vitamin B9 (folate) metabolism,0.3971,0.9184,0.7326,552,1927
Purine metabolism,0.1584,0.01205,0.01386,553,1927
Vitamin B9 (folate) metabolism,0.05387,0.3684,0.09763,553,1927
Purine metabolism,0.02141,0.0119,0.00236,554,1927
Vitamin B9 (folate) metabolism,0.1404,0.3571,0.2002,554,1927
Purine metabolism,0.231,0.0411,0.05371,555,1927
Vitamin B9 (folate) metabolism,0.3399,0.7333,0.5955,555,1927
Purine metabolism,0.07531,0.01333,0.00794,556,1927
Vitamin B9 (folate) metabolism,0.1589,0.7105,0.3591,556,1927
Purine metabolism,0.415,0.075,0.1391,557,1927
Vitamin B9 (folate) metabolism,0.1124,0.8718,0.3257,557,1927
Purine metabolism,0.4801,0.09091,0.1803,558,1927
Vitamin B9 (folate) metabolism,0.263,0.7059,0.4983,558,1927
Purine metabolism,0.05618,0.04348,0.01713,559,1927
Vitamin B9 (folate) metabolism,0.4739,0.4211,0.5212,559,1927
Purine metabolism,0.08386,0.01205,0.00798,560,1927
Vitamin B9 (folate) metabolism,0.2297,0.7887,0.4906,560,1927
Purine metabolism,0.1055,0.02353,0.01737,561,1927
Vitamin B9 (folate) metabolism,0.03895,0.4375,0.08643,561,1927
Purine metabolism,0.08268,0.01333,0.00861,562,1927
Vitamin B9 (folate) metabolism,0.1335,0.625,0.2907,562,1927
Purine metabolism,0.577,0.3256,0.502,563,1927
Vitamin B9 (folate) metabolism,0.07765,0.425,0.1456,563,1927
Purine metabolism,0.0167,0.01587,0.00245,564,1927
Vitamin B9 (folate) metabolism,0.361,0.4483,0.4566,564,1927
Purine metabolism,0.02978,0.01299,0.00343,565,1927
Vitamin B9 (folate) metabolism,0.2952,0.7551,0.5574,565,1927
Purine metabolism,0.5889,0.1803,0.3443,566,1927
Vitamin B9 (folate) metabolism,0.2656,0.2321,0.2334,566,1927
Purine metabolism,0.06705,0.02439,0.01213,567,1927
Vitamin B9 (folate) metabolism,0.1817,0.5303,0.3218,567,1927
Purine metabolism,0.1433,0.1774,0.1188,568,1927
Vitamin B9 (folate) metabolism,0.09313,0.4783,0.1831,568,1927
Purine metabolism,0.2064,0.01754,0.02397,569,1927
Vitamin B9 (folate) metabolism,0.1053,0.2698,0.1296,569,1927
Purine metabolism,0.5493,0.04545,0.1171,570,1927
Vitamin B9 (folate) metabolism,0.01092,0.4808,0.03281,570,1927
Purine metabolism,0.05361,0.02899,0.0116,571,1927
Vitamin B9 (folate) metabolism,0.05476,0.8167,0.1837,571,1927
Purine metabolism,0.03706,0.03175,0.00911,572,1927
Vitamin B9 (folate) metabolism,0.00661,0.6531,0.02781,572,1927
Purine metabolism,0.3693,0.01282,0.03008,573,1927
Vitamin B9 (folate) metabolism,0.05605,0.587,0.1452,573,1927
Purine metabolism,0.3403,0.03704,0.06773,574,1927
Vitamin B9 (folate) metabolism,0.241,0.3208,0.2752,574,1927
Purine metabolism,0.1699,0.2899,0.1975,575,1927
Vitamin B9 (folate) metabolism,0.2867,0.6034,0.4765,575,1927
Purine metabolism,0.2088,0.06757,0.07423,576,1927
Vitamin B9 (folate) metabolism,0.01674,0.4333,0.04299,576,1927
Purine metabolism,0.2056,0.0274,0.03481,577,1927
Vitamin B9 (folate) metabolism,0.1574,0.4737,0.2681,577,1927
Purine metabolism,0.04049,0.07792,0.021329999999999998,578,1927
Vitamin B9 (folate) metabolism,0.01616,0.5926,0.05408,578,1927
Purine metabolism,0.05726,0.01389,0.00647,579,1927
Vitamin B9 (folate) metabolism,0.424,0.8947,0.7471,579,1927
Purine metabolism,0.2849,0.05556,0.08146,580,1927
Vitamin B9 (folate) metabolism,0.1751,0.86,0.4357,580,1927
Purine metabolism,0.3655,0.04444,0.08316,581,1927
Vitamin B9 (folate) metabolism,0.2679,0.4091,0.3519,581,1927
Purine metabolism,0.08932,0.02632,0.01658,582,1927
Vitamin B9 (folate) metabolism,0.123,0.8485,0.3402,582,1927
Purine metabolism,0.01664,0.01316,0.00206,583,1927
Vitamin B9 (folate) metabolism,0.093410000000000007,0.8214,0.2737,583,1927
Purine metabolism,0.3953,0.2333,0.3121,584,1927
Vitamin B9 (folate) metabolism,0.0811,0.4737,0.1636,584,1927
Purine metabolism,0.3003,0.1304,0.166,585,1927
Vitamin B9 (folate) metabolism,0.03041,0.8723,0.1228,585,1927
Purine metabolism,0.4509,0.02985,0.07145,586,1927
Vitamin B9 (folate) metabolism,0.2197,0.566,0.3836,586,1927
Purine metabolism,0.1956,0.03488,0.04086,587,1927
Vitamin B9 (folate) metabolism,0.2739,0.5385,0.4298,587,1927
Purine metabolism,0.1597,0.01389,0.01577,588,1927
Vitamin B9 (folate) metabolism,0.00641,0.3333,0.01526,588,1927
Purine metabolism,0.06131,0.01786,0.00856,589,1927
Vitamin B9 (folate) metabolism,0.09272,0.75,0.2549,589,1927
Purine metabolism,0.0035,0.01266,4.9e-4,590,1927
Vitamin B9 (folate) metabolism,0.2539,0.8049,0.5288,590,1927
Purine metabolism,0.6903,0.254,0.4806,591,1927
Vitamin B9 (folate) metabolism,0.3184,0.3,0.3199,591,1927
Purine metabolism,0.1082,0.0119,0.00986,592,1927
Vitamin B9 (folate) metabolism,0.2027,0.5077,0.3369,592,1927
Purine metabolism,0.1427,0.06818,0.0548,593,1927
Vitamin B9 (folate) metabolism,0.1229,0.6111,0.2696,593,1927
Purine metabolism,0.4274,0.05128,0.1057,594,1927
Vitamin B9 (folate) metabolism,0.07464,0.8276,0.2338,594,1927
Purine metabolism,0.3076,0.01333,0.02664,595,1927
Vitamin B9 (folate) metabolism,0.5248,0.5893,0.6722,595,1927
Purine metabolism,0.1701,0.01266,0.01538,596,1927
Vitamin B9 (folate) metabolism,0.02639,0.4909,0.06925,596,1927
Purine metabolism,0.3298,0.1373,0.1854,597,1927
Vitamin B9 (folate) metabolism,0.2471,0.25,0.2337,597,1927
Purine metabolism,0.09408,0.02247,0.01513,598,1927
Vitamin B9 (folate) metabolism,0.03363,0.2031,0.04089,598,1927
Purine metabolism,0.00883,0.02703,0.00223,599,1927
Vitamin B9 (folate) metabolism,0.2539,0.6383,0.457,599,1927
Purine metabolism,0.1121,0.01299,0.01097,600,1927
Vitamin B9 (folate) metabolism,0.0273,0.5686,0.08018,600,1927
Purine metabolism,0.1945,0.01429,0.01914,601,1927
Vitamin B9 (folate) metabolism,0.5244,0.4355,0.5656,601,1927
Purine metabolism,0.2032,0.02439,0.03126,602,1927
Vitamin B9 (folate) metabolism,0.08774,0.5435,0.1928,602,1927
Purine metabolism,0.04601,0.01639,0.00618,603,1927
Vitamin B9 (folate) metabolism,0.00398,0.3171,0.00969,603,1927
Purine metabolism,0.01752,0.0125,0.00206,604,1927
Vitamin B9 (folate) metabolism,0.1014,0.5517,0.2172,604,1927
Purine metabolism,0.1144,0.0119,0.01034,605,1927
Vitamin B9 (folate) metabolism,0.02351,0.8209,0.09548,605,1927
Purine metabolism,0.2547,0.01471,0.02468,606,1927
Vitamin B9 (folate) metabolism,0.3504,0.4386,0.4415,606,1927
Purine metabolism,0.2136,0.04348,0.05275,607,1927
Vitamin B9 (folate) metabolism,0.1229,0.6222,0.273,607,1927
Purine metabolism,0.1786,0.08,0.07497,608,1927
Vitamin B9 (folate) metabolism,0.1543,0.6102,0.3166,608,1927
Purine metabolism,0.0465,0.01205,0.00476,609,1927
Vitamin B9 (folate) metabolism,0.09432,0.4098,0.1644,609,1927
Purine metabolism,0.4484,0.05714,0.1195,610,1927
Vitamin B9 (folate) metabolism,0.08161,0.5424,0.1823,610,1927
Purine metabolism,0.02437,0.01389,0.00304,611,1927
Vitamin B9 (folate) metabolism,0.01499,0.6531,0.05508,611,1927
Purine metabolism,0.04534,0.01316,0.00503,612,1927
Vitamin B9 (folate) metabolism,0.08567,0.5789,0.1986,612,1927
Purine metabolism,0.1047,0.04054,0.02743,613,1927
Vitamin B9 (folate) metabolism,0.5478,0.7018,0.7519,613,1927
Purine metabolism,0.08398,0.01235,0.00816,614,1927
Vitamin B9 (folate) metabolism,0.5284,0.8511,0.8091,614,1927
Purine metabolism,0.09848,0.025,0.01725,615,1927
Vitamin B9 (folate) metabolism,0.3647,0.3793,0.412,615,1927
Purine metabolism,0.04447,0.125,0.03442,616,1927
Vitamin B9 (folate) metabolism,0.01611,0.717,0.06309,616,1927
Purine metabolism,0.07265,0.02941,0.01527,617,1927
Vitamin B9 (folate) metabolism,0.06908,0.8163,0.2185,617,1927
Purine metabolism,0.3484,0.02778,0.05457,618,1927
Vitamin B9 (folate) metabolism,0.02346,0.4545,0.05908,618,1927
Purine metabolism,0.1804,0.05128,0.05257,619,1927
Vitamin B9 (folate) metabolism,0.04504,0.5763,0.1207,619,1927
Purine metabolism,0.05803,0.01389,0.00655,620,1927
Vitamin B9 (folate) metabolism,0.4515,0.6429,0.6493,620,1927
Purine metabolism,0.02366,0.05882,0.01055,621,1927
Vitamin B9 (folate) metabolism,0.07343,0.6538,0.1938,621,1927
Purine metabolism,0.3279,0.0122,0.02609,622,1927
Vitamin B9 (folate) metabolism,0.09179,0.4138,0.1622,622,1927
Purine metabolism,0.1092,0.01695,0.01349,623,1927
Vitamin B9 (folate) metabolism,0.5166,0.7857,0.7719,623,1927
Purine metabolism,0.6098,0.122,0.2677,624,1927
Vitamin B9 (folate) metabolism,0.5544,0.6102,0.705,624,1927
Purine metabolism,0.2332,0.07895,0.09197,625,1927
Vitamin B9 (folate) metabolism,0.08964,0.5085,0.1863,625,1927
Purine metabolism,0.06794,0.02857,0.01406,626,1927
Vitamin B9 (folate) metabolism,0.01823,0.6949,0.06802,626,1927
Purine metabolism,0.2952,0.01266,0.02463,627,1927
Vitamin B9 (folate) metabolism,0.3188,0.9091,0.6488,627,1927
Purine metabolism,0.03131,0.01493,0.00405,628,1927
Vitamin B9 (folate) metabolism,0.7498,0.2353,0.4825,628,1927
Purine metabolism,0.1711,0.1212,0.1011,629,1927
Vitamin B9 (folate) metabolism,0.02975,0.8167,0.1146,629,1927
Purine metabolism,0.08845,0.025,0.01573,630,1927
Vitamin B9 (folate) metabolism,0.07264,0.7241,0.2075,630,1927
Purine metabolism,0.2514,0.04348,0.06029,631,1927
Vitamin B9 (folate) metabolism,0.2096,0.7451,0.4461,631,1927
Purine metabolism,0.4059,0.1014,0.1725,632,1927
Vitamin B9 (folate) metabolism,0.9166,0.7826,0.9556,632,1927
Purine metabolism,0.2842,0.125,0.1541,633,1927
Vitamin B9 (folate) metabolism,0.1081,0.3846,0.1738,633,1927
Purine metabolism,0.1833,0.02564,0.02989,634,1927
Vitamin B9 (folate) metabolism,0.1356,0.3509,0.1925,634,1927
Purine metabolism,0.1107,0.0125,0.01049,635,1927
Vitamin B9 (folate) metabolism,0.01023,0.4364,0.02863,635,1927
Purine metabolism,0.5876,0.02326,0.07234,636,1927
Vitamin B9 (folate) metabolism,0.4634,0.4902,0.5638,636,1927
Purine metabolism,0.1148,0.025,0.01967,637,1927
Vitamin B9 (folate) metabolism,0.1121,0.4655,0.2062,637,1927
Purine metabolism,0.1416,0.1549,0.1057,638,1927
Vitamin B9 (folate) metabolism,0.2464,0.7091,0.4795,638,1927
Purine metabolism,0.1449,0.02439,0.02348,639,1927
Vitamin B9 (folate) metabolism,0.1032,0.7059,0.2636,639,1927
Purine metabolism,0.2077,0.05455,0.06209,640,1927
Vitamin B9 (folate) metabolism,0.04249,0.3137,0.07088,640,1927
Purine metabolism,0.4737,0.09677,0.1871,641,1927
Vitamin B9 (folate) metabolism,0.157,0.6429,0.3325,641,1927
Purine metabolism,0.1339,0.02532,0.02267,642,1927
Vitamin B9 (folate) metabolism,0.3954,0.8846,0.7172,642,1927
Purine metabolism,0.224,0.06579,0.07689,643,1927
Vitamin B9 (folate) metabolism,0.02185,0.7015,0.07938,643,1927
Purine metabolism,0.02967,0.08955,0.01841,644,1927
Vitamin B9 (folate) metabolism,0.042,0.4211,0.08906,644,1927
Purine metabolism,0.2637,0.01333,0.02338,645,1927
Vitamin B9 (folate) metabolism,0.8104,0.7381,0.9056,645,1927
