feature,mzmed,rtmed,NEG_1_QC_pool_n1.mzXML,NEG_2_WT_b1_t1.mzXML,NEG_3_PM-31_b1_t1.mzXML,NEG_4_PM-37_b1_t1.mzXML,NEG_5_KO-6_b1_t1.mzXML,NEG_6_KO-22_b1_t1.mzXML,NEG_7_QC_pool_n2.mzXML,NEG_8_WT_b2_t1.mzXML,NEG_9_PM-31_b2_t1.mzXML,NEG_10_PM-37_b2_t1.mzXML,NEG_11_KO-6_b2_t1.mzXML,NEG_12_KO-22_b2_t1.mzXML,NEG_13_QC_pool_n3.mzXML,NEG_14_WT_b3_t1.mzXML,NEG_15_PM-31_b3_t1.mzXML,NEG_16_PM-37_b3_t1.mzXML,NEG_17_KO-6_b3_t1.mzXML,NEG_18_KO-22_b3_t1.mzXML,NEG_19_QC_pool_n4.mzXML,NEG_20_WT_b1_t2.mzXML,NEG_21_PM-31_b1_t2.mzXML,NEG_22_PM-37_b1_t2.mzXML,NEG_23_KO-6_b1_t2.mzXML,NEG_24_KO-22_b1_t2.mzXML,NEG_25_QC_pool_n5.mzXML,NEG_26_WT_b2_t2.mzXML,NEG_27_PM-31_b2_t2.mzXML,NEG_28_PM-37_b2_t2.mzXML,NEG_29_KO-6_b2_t2.mzXML,NEG_30_KO-22_b2_t2.mzXML,NEG_31_QC_pool_n6.mzXML,NEG_32_WT_b3_t2.mzXML,NEG_33_PM-31_b3_t2.mzXML,NEG_34_PM-37_b3_t2.mzXML,NEG_35_KO-6_b3_t2.mzXML,NEG_36_KO-22_b3_t2.mzXML,NEG_37_QC_pool_n7.mzXML
FT0022,78.9733493277778,579.036010742188,127662.58, 65571.02, 95378.17, 47734.35,117178.58,119852.94,141981.22,129781.58,106658.38,120842.70,131460.93,147466.50,140956.98,111575.11, 51901.64, 79766.28,258074.51,185101.21,139467.72, 46767.68, 92885.67, 67639.24,139160.95,167496.20,124200.97,142873.09, 96161.60,124764.67,139865.84,104722.54,130770.54,115545.67, 87596.09, 83158.14,261384.83,185568.43,149462.75
FT0023,78.9777920374297,579.036010742188,325687.8,214792.0,263333.5,146885.3,325976.4,408054.8,300986.3,307144.3,271107.0,303379.9,339509.5,381125.7,334382.0,281507.1,241975.5,236171.6,591746.3,393619.4,302547.0,211025.0,254500.8,221628.2,304305.6,414162.0,308006.1,334803.7,278412.2,299951.3,329907.0,394286.8,311168.9,303501.9,259946.1,220738.6,644266.6,430115.2,326327.2
FT0024,79.9570950619711,488.087768554688,572074.5,518947.0,487153.9,467548.7,713436.0,588572.8,530015.9,511498.0,414597.8,454553.7,716621.5,582150.8,555454.6,543695.3,446008.3,483910.5,718230.5,555008.3,545642.6,512589.9,452030.3,476125.3,764434.6,558329.6,513529.9,531517.6,403411.8,437677.9,720982.0,555282.6,426953.3,488860.3,389050.8,466441.8,733688.1,575364.2,508431.4
FT0025,79.9567607163195,161.898101806641,466839.4,545852.4,364835.0,500428.5,516046.9,515727.8,552138.1,520598.5,458274.2,542469.8,529413.6,604109.2,555234.6,556873.2,538880.7,428042.5,504787.3,559835.2,613647.6,620443.2,462936.6,558533.3,552205.2,503861.8,606608.5,546692.6,577261.4,578520.9,537642.7,562190.6,405580.8,418350.7,530923.9,541386.6,592831.6,531520.3,534191.6
FT0026,80.0116254239215,964.246459960938,1008270.1, 570035.8, 772747.2, 640617.7,1049411.0,1191006.5, 972166.9, 926066.8, 761977.6, 843038.0,1056453.1,1202458.0, 960858.7, 805524.3, 694511.8, 649328.8,1746661.5,1233972.7, 935238.9, 473030.7, 689028.2, 572934.8, 930711.8,1271232.4, 826958.9, 856730.2, 802009.4, 724667.7, 891718.8,1074760.6, 841676.2, 808465.7, 707847.1, 528035.2,1693707.8,1221886.5, 852765.9
FT0027,80.9167638658428,374.317,2960113,2086385,2652549,2156726,2963064,3680394,2886559,2904692,2763386,2591909,3106295,3531549,3075106,2784131,2460656,2060974,5249160,3819533,2974348,1959539,2477811,2145497,3046992,3743120,3189321,3010883,2612032,2600799,3223381,3567011,2978977,2745818,2485186,2170699,5492010,4028719,3045790
FT0028,80.9632023707844,579.036010742188, 680120.1, 340196.2, 537325.9, 428613.5, 660874.6, 825924.6, 623215.7, 628593.2, 537818.9, 592055.1, 724957.1, 799087.7, 646592.5, 602334.0, 498098.3, 457791.6,1189146.8, 912218.8, 604149.0, 436796.2, 533597.0, 448962.2, 657961.6, 803353.6, 625091.4, 667119.8, 533857.8, 588746.5, 634611.7, 819552.9, 635757.9, 640159.4, 503359.3, 443758.7,1205569.5, 894712.3, 645279.9
FT0029,81.0457459369511,342.640472412109,29956.383, 8534.946, 3148.980,64968.214, 6051.708,12141.944,34955.133,12878.835, 7263.075,81632.661, 4933.626, 9324.901,27050.365,21729.381, 8151.804,68066.194, 7108.898,12541.204,20774.154, 3856.650,15786.668,76320.328,13880.445,13310.636,33061.784,11900.307, 6170.719,86472.637,17022.360,18754.562,18347.043, 9582.772,11549.122,79230.859,18276.849,10287.954,20377.605
FT0030,82.9541134247734,207.466094970703,1707329,1460388,1679291,1302739,1215038,3063253,1601917,2192187,1307341,1133118,1514417,1673591,1741679,1520173,1625455,1273325,1394117,2431081,1635517,1419772,1703894,1292566,1318450,3101488,3729303,2433324,1315617,1212532,1569096,1767598,1701456,1524486,1630906,1342082,1492839,2641881,1752304
FT0031,82.9745171797627,964.259155273438,2201135,1325801,1917207,1386228,2261110,2786156,2111892,2161216,1883672,1795473,2237933,2605743,2183753,1982841,1732983,1446336,4127302,2720399,2034694,1208851,1706527,1394734,2217101,2787613,1993239,2201342,1860176,1805352,2349983,2588025,2070658,1859797,1682625,1364021,3943096,2910190,2071053
