m.z	p.value	t.score	rt
293.05202	1.62405428182784e-6	-35.8843692448135	245.4
319.09946	1.62405428182784e-6	-26.6398812866149	481.8
289.03326	1.75725925885889e-6	14.0062849278741	594.6
365.12224	1.75725925885889e-6	33.8241972332932	470.4
114.0561	1.75790748445204e-6	-21.0798837400476	387
230.01974	1.75790748445204e-6	-26.1089618451007	481.8
381.01919	1.82044376385348e-6	23.2057249467948	630
301.13376	1.83312255667766e-6	16.2442429141202	472.8
115.04005	1.87272275542929e-6	17.8259848370776	439.8
275.12519	1.89061040401949e-6	-28.5082888547848	562.2
509.28887	1.97667091195532e-6	-21.0795965325203	84
281.99744	1.98059103817689e-6	13.7968734607277	441
110.02483	2.01167255446903e-6	-12.8301265942343	741
172.06171	2.07986024122977e-6	-12.6115325541676	741
303.0836	2.11942428813512e-6	-17.43120836954	622.8
163.04025	2.21189198378233e-6	-12.6154340269118	411.6
264.07405	2.36175234180788e-6	-34.5596160041679	252
365.34241	2.36175234180788e-6	14.1951916154383	80.4
203.08272	2.38477515583171e-6	-12.823536236006	333.6
287.05238	2.43139730459858e-6	-16.0373311639397	407.4
315.034	2.43139730459858e-6	-34.0972394232572	245.4
422.08803	2.43139730459858e-6	-13.3906734656991	682.8
452.06668	2.60155069552725e-6	-12.8263863067206	274.8
557.18807	2.61210674517077e-6	-33.4831038547269	482.4
382.11397	2.63033048572048e-6	-22.4205392479615	485.4
205.08306	2.63102549945627e-6	24.3185230188297	439.2
113.02448	2.6596425303526e-6	19.2678736774541	441
322.06711	2.6596425303526e-6	-13.7833689804858	741
172.00995	2.79051547357936e-6	-12.3777829832458	543
268.96019	2.79051547357936e-6	13.0248116719131	420
308.97843	2.79051547357936e-6	29.1900911650102	616.2
324.04677	2.79051547357936e-6	-23.8602003100587	475.8
339.99241	2.79051547357936e-6	33.693328419897	673.2
408.11838	2.79051547357936e-6	14.1203655107866	441
134.0473	2.81240712760901e-6	13.6124092947854	166.2
211.00141	2.87771458754085e-6	29.6211226065966	457.8
273.96615	2.87771458754085e-6	12.0234891686455	533.4
373.10025	2.87771458754085e-6	34.5162368421983	617.4
209.95008	2.89926251901497e-6	-15.0502495314113	274.8
148.03337	2.97905195044688e-6	16.9197900419899	553.8
331.2647	3.11323319404088e-6	20.4588017956016	82.8
246.04673	3.15007615372817e-6	-20.2813404699488	432.6
84.04548	3.24503082804175e-6	-13.3915477646249	304.2
178.05994	3.24976486025375e-6	13.4501164305333	846.6
430.0845	3.29454809747546e-6	-14.3735225756189	274.8
128.0744	3.36141699941716e-6	-11.7929965489196	274.8
280.03572	3.39928605542502e-6	-32.8336877930853	529.2
130.05104	3.42031010636003e-6	-11.7664717878846	532.2
465.98281	3.42031010636003e-6	-13.2906064835949	643.8
349.05442	3.42261935486772e-6	17.5992623229481	619.2
251.07881	3.42568882903515e-6	-25.2049981543197	221.4
150.04219	3.53203177606326e-6	-17.2515550884506	349.2
241.99105	3.56420754149984e-6	-32.1237810017054	243.6
161.0649	3.64099470924986e-6	-27.9891369170418	531
401.08287	3.65272211771673e-6	-30.1502434028319	240
147.04914	3.78448542263071e-6	13.1293882880169	519
363.03521	3.82374433641078e-6	17.6013690636494	661.2
426.02249	3.82374433641078e-6	-11.5850247662436	564
149.03434	3.837411700751e-6	-19.8462252656918	351.6
