"feature","mzmed","rtmed","NEG_1_QC_pool_n1.mzXML","NEG_2_WT_b1_t1.mzXML","NEG_3_PM-31_b1_t1.mzXML","NEG_4_PM-37_b1_t1.mzXML","NEG_5_KO-6_b1_t1.mzXML","NEG_6_KO-22_b1_t1.mzXML","NEG_7_QC_pool_n2.mzXML","NEG_8_WT_b2_t1.mzXML","NEG_9_PM-31_b2_t1.mzXML","NEG_10_PM-37_b2_t1.mzXML","NEG_11_KO-6_b2_t1.mzXML","NEG_12_KO-22_b2_t1.mzXML","NEG_13_QC_pool_n3.mzXML","NEG_14_WT_b3_t1.mzXML","NEG_15_PM-31_b3_t1.mzXML","NEG_16_PM-37_b3_t1.mzXML","NEG_17_KO-6_b3_t1.mzXML","NEG_18_KO-22_b3_t1.mzXML","NEG_19_QC_pool_n4.mzXML","NEG_20_WT_b1_t2.mzXML","NEG_21_PM-31_b1_t2.mzXML","NEG_22_PM-37_b1_t2.mzXML","NEG_23_KO-6_b1_t2.mzXML","NEG_24_KO-22_b1_t2.mzXML","NEG_25_QC_pool_n5.mzXML","NEG_26_WT_b2_t2.mzXML","NEG_27_PM-31_b2_t2.mzXML","NEG_28_PM-37_b2_t2.mzXML","NEG_29_KO-6_b2_t2.mzXML","NEG_30_KO-22_b2_t2.mzXML","NEG_31_QC_pool_n6.mzXML","NEG_32_WT_b3_t2.mzXML","NEG_33_PM-31_b3_t2.mzXML","NEG_34_PM-37_b3_t2.mzXML","NEG_35_KO-6_b3_t2.mzXML","NEG_36_KO-22_b3_t2.mzXML","NEG_37_QC_pool_n7.mzXML"
"FT0066",92.9280577293809,410.410003662109,12844337,9989410,11412056,9742420,11957820,13879545,12178968,11830686,11352863,11340638,12293637,13299571,12143726,11514448,10627903,9506492,15410949,13618416,11634139,8877124,10978773,9631171,11655859,13314898,11602238,11545058,10953469,11010903,11708465,12780931,11882774,11366496,10689465,9541369,14812415,13411320,11744677
"FT0067",94.9251398760861,410.410003662109,9707586,7530327,8459994,7186696,9007060,10287078,9048805,8877553,8513861,8435988,9191014,9983529,9119995,8727747,8064697,7200992,11439339,10135634,8750122,6776714,8304528,7197459,8841527,9968915,8610228,8764845,8213493,8209612,8891661,9673696,8891598,8540240,8035730,7166655,10975384,9978570,8776294
"FT0070",95.9618487025216,529.475708007812,1005514.2,1238068.7,1526382.7,751312.1,170709.8,1264818.4,1040469.4,1292951,1601479.5,762121.3,177884.8,1337600.3,996330.7,1256738.4,1501693.1,814626,175332.5,1352429,995665.4,1244575.3,1484146.2,709779,165360.6,1322745.8,1039144.1,1324141.7,1577834.4,766144.2,180182.7,1459980.4,935647,1218608.2,1377967.2,748718.9,190690.8,1297144,1003295.7
"FT0071",95.9857747274788,990.416687011719,5587656,5170015,5716436,5116616,5305962,5388898,5351928,5337162,6012906,5941326,5950555,5310746,5650737,5468548,5570501,5755052,5633063,5293873,5369475,5152274,5594137,5336058,5242817,5137665,5379051,5453846,5781407,5932321,5372622,5358256,5354624,5517770,5401101,5410387,5461785,5304100,5504883
"FT0072",96.9221583005865,410.410003662109,1688466,1360705,1484379,1277383,1587017,1807204,1634113,1581252,1488390,1518607,1606476,1757990,1610551,1541321,1405139,1256684,2056830,1770539,1543156,1166765,1491514,1315871,1580531,1759156,1548420,1559893,1471603,1469942,1562222,1698442,1570764,1538166,1453517,1315338,1968011,1774590,1573207
"FT0075",96.9498643943068,579.079895019531,297858.04,202261.34,283123.01,244719.88,368233.2,217400.56,265889.5,340673.08,292873.08,340481.02,360657.46,405701.6,346697.24,203886.32,271128.77,258284.67,201458.95,281721.55,332154.3,177881.02,268141.64,93457.12,345667.72,437226.7,331301.32,360042.23,274632.19,341087.97,396457.5,432533.3,336682.41,291989.84,276874.33,239194.15,700693.22,449209.07,325099.94
"FT0076",96.9602377886357,651.185668945312,64544600,50840548,56732823,60356877,63409955,64969815,63665729,55470258,57990276,65301130,66967020,58163353,55802179,50247922,56239387,62561796,83978230,63905568,59501065,45916194,55248804,61466205,65415241,64418532,58890096,54174753,56237103,64283041,65163661,61377641,57936698,52276658,55506470,58616287,84314322,65855140,61222275
"FT0077",96.9606354923793,587.517700195312,27463730,26381534,27930676,24992253,31598460,27337565,27366879,26251266,29244510,26516816,32491528,27093684,26638803,26561600,28681877,26227614,13643876,29209755,28380962,27913205,30118774,26717179,30689407,29969378,28741597,28524576,29936241,26906764,33128564,30850484,29737803,29319376,30591819,27043330,13541045,31931237,28940501
"FT0078",96.9695722103653,579.015960693359,341207187,198789919,264921814,239942714,346838076,428044947,336791029,314407668,282694436,322020092,371028898,406988733,344147817,295994673,254146079,249008280,687845058,449803652,332028872,198814435,270771790,247030331,346656561,431759575,320902896,324069194,279549432,318615283,362071626,420784597,338142759,315555313,262818473,243425261,684459311,460762596,355630725
"FT0080",96.9882739154629,964.254455566406,11958648,8034591,10190010,8333345,11440239,13826335,11333075,11432783,10106859,10168233,11930386,13225127,11604609,10691049,9465183,8510775,17926327,13873020,11366673,7465930,9825984,8517841,11565740,13876774,11001014,11390270,10379643,10292977,12127883,13242103,11391053,10494982,9642085,8104085,17756955,14577349,11688939
