m.z	p.value	t.score	rt
379.10101	1.79340622954133e-5	-12.4857693979738	242.4
335.0955	1.80985703862085e-5	13.3572725697019	489.6
359.16836	1.80985703862085e-5	-9.56038043827507	519
460.18021	1.82853398499201e-5	10.4591100883857	624.6
237.02945	1.844615644563e-5	9.82680731730886	441.6
162.02318	1.84855065190737e-5	19.1799581853919	435.6
114.01967	1.85255355001637e-5	-14.9499549145099	532.2
201.08818	2.0104341043227902e-005	-10.0814731965105	183.6
306.08646	2.0104341043227902e-005	13.9248238811413	486.6
361.13036	2.0104341043227902e-005	-20.3745529967607	350.4
283.09134	2.02566843490181e-5	-13.9186257358912	474.6
229.01184	2.04090958861799e-5	19.7367530552739	573.6
431.09142	2.0648225709236e-5	9.36960470195173	500.4
355.9398	2.11536688917918e-5	-10.571652507418	409.2
106.02855	2.1760669648936e-5	-21.6671110533509	351.6
644.2558	2.18164688368231e-5	-19.8455548384861	478.8
392.15993	2.18395882461765e-5	14.320958699404	441
289.10195	2.18722335035705e-5	10.8374121588183	189.6
401.06108	2.18722335035705e-5	-10.0773894952533	624.6
88.04047	2.28237713469322e-5	-16.136447444681	204.6
243.08111	2.28286137221902e-5	9.91914260654585	207.6
337.09136	2.30511408167417e-5	10.5030269461586	486.6
208.95159	2.33207958658778e-5	-18.348311136936	246.6
297.98114	2.33207958658778e-5	-9.14085804474816	410.4
895.58998	2.34787245217307e-5	13.3251643491432	89.4
568.36177	2.55624195296905e-5	-11.0038613866348	162
245.06241	2.58907788233114e-5	-20.0440887413177	530.4
828.57621	2.7237829283705e-5	-9.97825982677205	128.4
852.57622	2.7237829283705e-5	-9.24442568969006	87.6
202.07219	2.80203205885606e-5	-12.1124381063777	558.6
103.04008	3.04347530711363e-5	12.2281069465756	554.4
307.26423	3.10086158052483e-5	9.19312546766316	83.4
151.03927	3.11349016149235e-5	-8.89339805991245	349.2
746.51194	3.14492245839027e-5	-9.05911225180763	83.4
113.03573	3.22531341378626e-5	-16.8017122577917	329.4
579.02749	3.29658188154075e-5	10.0244819978228	698.4
570.37786	3.32941213957505e-5	-11.3189065851304	95.4
189.03501	3.34010660240605e-5	-10.8246999451289	390.6
271.09144	3.41870533943199e-5	-13.4536478977675	473.4
206.95	3.45532643928842e-5	-11.0477164334735	457.8
369.06791	3.48447125626917e-5	-13.0772794899896	536.4
542.34703	3.48447125626917e-5	-13.6897612243119	164.4
436.96736	3.497116493606e-5	18.5818856889525	675
164.05801	3.51400984790268e-5	11.2972745848803	224.4
290.96788	3.51400984790268e-5	-9.26262226839905	562.2
561.90842	3.55562342658628e-5	-8.68877805599317	613.2
477.99385	3.66593820609765e-5	14.0229287814529	630
804.57625	3.66593820609765e-5	-14.296560826371	152.4
303.23299	4.10438519546418e-5	10.7354860376903	84.6
227.05191	4.34772804062976e-5	-17.2481820650163	482.4
233.07806	4.54796488440963e-5	11.9461103595095	301.2
638.21323	4.6143870660105e-5	-17.4331459070547	485.4
156.07808	4.68151942154775e-5	13.3922703438498	845.4
294.05562	4.68915450267317e-5	-17.5447633217132	246.6
148.0439	4.73643354019513e-5	-12.9560693108521	326.4
446.21944	4.75759974603073e-5	-8.5174162893614	303
387.03511	4.77852001356981e-5	9.0720861603989	633
204.05118	4.91219980671382e-5	-8.67632880878671	519
240.02253	5.16145342023916e-5	-8.96549759087396	410.4
294.06709	5.16145342023916e-5	8.37579811263345	846
563.9039	5.16145342023916e-5	-8.78975304227514	613.2
443.12797	5.17674366154568e-5	-10.7411181751005	480
603.15888	5.19673866385081e-5	-16.0125364335575	492
247.04066	5.21616353382697e-5	-16.856561505448	409.2
562.90618	5.21616353382697e-5	-9.02347667728029	613.2
304.04415	5.22106452551237e-5	-9.96105023577706	543.6
131.08271	5.34405549470762e-5	-8.35808388180087	769.8
243.06228	5.50759964116554e-5	8.82584045155803	521.4
496.29552	5.84190452815311e-5	-8.12195705667825	197.4
326.98884	6.00624768845158e-5	17.1744613483967	574.8
870.58631	6.04571862603536e-5	14.4129718396728	88.8
871.59022	6.15190354683314e-5	10.9716345509372	134.4
329.112	6.21927147324517e-5	-14.0467166338836	523.8
278.08808	6.22429659005073e-5	17.1372351558676	525.6
