compound,Label,Pur_A9_AICAR,Pyr_A9_UMP,Pyr_dTMP_A15_dTMP,Pur_A4_FGAR,Pyr_dTMP_A14_dUMP,PPP_A6a_D-sedoheptulose 7-phosphate,Pur_A3_GAR,PPP_A3_D-gluconate 6-phosphate,Gly_TCA_PPP_A3_D-glucose 6-phosphate,PPP_A5b_D-ribose 5-phosphate,Pur_A2_PRA,Gly_TCA_A10_Pyruvate,Gly_TCA_A1_Glucose_(D-glucopyranose),Pyr_A4_N-carbomoyl-aspartate,Gly_TCA_A12_Aconitate,Gly_TCA_PPP_A6_D-glyceraldehyde 3-phosphate,Gly_TCA_A9_phosphoenolpyruvate,Pyr_A5_Dihydroorotate,Pyr_A6_Orotate,Gly_TCA_Pur_Pyr_SerGly_A14_Ketoglutarate,Pyr_A3_Carbamoyl phosphate,Gly_TCA_A17_Malate,Pyr_Pur_A2_Aspartate,Gly_TCA_A15_Succinate,Gly_TCA_A16_Fumarate,Gly_TCA_A11b_Lactic acid,Gly_TCA_SerGly_A8_3-phospho-D-glycerate,Gly_TCA_A22_Succinyl-CoA,Gly_TCA_A21_Acetyl-CoA,PPP_A2b/4b_NADPH,PPP_A1b/3b_NADP,Gly_TCA_A14b/15b_NADH,Gly_TCA_A13b/14b_NAD,Pur_Gly_TCA_A20_ATP,Pur_A22_dGTP,Pur_A16_dATP,Pyr_A11_UTP,Pyr_A18_CTP,Pyr_A17_dTTP,Pyr_A21_dCTP,"Gly_TCA_A5_D-fructofuranose 1,6-bisphosphate",Pur_A8_SAICAR,Pur_Gly_TCA_A19_GDP,Pur_A21_dGDP,Pur_Gly_TCA_A19_ADP,Pur_A15_dADP,Pyr_A10_UDP,Pyr_A19_CDP,Pyr_A16_dTDP,Pur_Pyr_A1_5-PRPP,Pyr_A12_dUDP,Pyr_A20_dCDP,Pur_A17_XMP,Pur_A18_GMP,Pur_A11_IMP,Pur_A12/13_Adenylosuccinate,Pur_Gly_TCA_A20_GTP,Gly_TCA_A11_Citrate,Gly_TCA_A13_D-isocitrate,SAM_A2_S-Adenosyl-L-methionine,SAM_A3_S-5-Adenosyl-L-homocysteine,Pur_A13_AMP,Pur_A7_CAIR,Pur_A5_FGAM,Pur_A6_AIR,SAM_A4_Adenosine,SAM_A1_Methionine,Pur_Pyr_SerGly_A1/2/4_Glutamic acid,Pur_Pyr_A1/2/4_Glutamine,SAM_A5_Homocysteine,SerGly_dTMP_A4_Serine,Pur_SerGly_dTMP_A2_Glycine
27_PM-31_b2_t2,PM-31,4492.54,1240467.38,74112.72,5886.1,22279.09,7043.37,0,449.17,13188.99,28666.65,0,60458.12,47002.14,9617.57,21571.96,11426.73,58821.61,10122.19,4899.94,249118.5,51372.33,956934.75,22090742,116357.69,559330.56,812233.44,40065.01,3065.53,29416.15,31156.01,100434.96,127463.26,527935.31,6578820,6578820,59810.64,2093482,272225.88,181684.36,33276.89,11834.9,0,185904.12,1911922.38,1911922.38,13594.17,951924.5,121902.96,20729.94,2895.6,0,6494.73,17502.95,439414.34,762612.19,9405.56,148456.14,143125.08,143125.08,741829.5,117688.65,9575283,0,0,7658.55,407505.91,4994419.5,73723680,18605722,9470.36,385863.53,112622.34
33_PM-31_b3_t2,PM-31,6977.9,1808221,117254.53,6576.56,19728.55,6580.99,0,0,15854.72,34136.45,0,91727.62,66814.05,7916,22672.13,12284.99,39693.19,9806.71,9394.17,191447.94,56108.25,1045224.06,20229182,174647.11,503228.53,1633780,26244.66,1877.25,25096.33,38023.99,58986.02,142615.55,434641.38,4836470.5,4836470.5,44333.59,1349047.38,183650.55,142673.91,23321.5,10634.02,0,175709.36,2052009.12,2052009.12,16489.49,1095386.75,114506.16,29380.56,2076.47,0,5687.33,26844.23,684808.62,1060418.25,12374.8,106206.44,159895.27,159895.27,789793.94,131273.69,12460149,0,0,4146.76,759817.69,4574872.5,66082140,24973938,10416.06,407283.78,108152.27
4_PM-37_b1_t1,PM-37,20008.92,2198492.25,236861.5,8988.95,14809.64,122261.12,0,2386.43,22025.5,73000.13,401.32,98771.52,44751.04,60308.32,263486.34,209157.06,23866.31,50189.83,105565.38,808397.69,51512.01,5240386.5,2506134,1024079.31,117582.18,8370470,25062.82,0,46488.49,115087.03,12135.05,248564.55,345986.84,2671237.25,2671237.25,32587.88,619948,104285.85,106449.07,12986.04,7653.67,1049.39,163708.55,1998425.62,1998425.62,19985.25,927520.31,125404.23,37163.58,2578.03,1617.56,6329.8,555074.75,1596321.88,2729588.25,198107.86,65220.79,780245.06,780245.06,587137.62,303795.16,21004714,0,0,80712.46,415021.22,2002866.5,70613368,1141187,17121.67,258617.42,62475.23
10_PM-37_b2_t1,PM-37,30726.64,2788781.75,302017.28,10349.07,18590.44,123545.96,0,2709.24,29141.65,80835.88,0,126087.26,43211.9,60141.32,246184.75,221250,18666.21,61984.96,136712.2,654781.06,59383.08,5722908.5,1992316,1144984.88,102632.65,11792361,27259.08,0,31646.47,101886.05,13524.78,284199.28,300609.03,1705721,1705721,23367.9,393159.84,60362.1,66055.92,8899.01,8174.78,335.63,166179.66,2223357.25,2223357.25,22425.4,964568.19,107742.88,41201.43,2671.86,1880.33,7099.76,538739.62,2091700.38,3401322.75,257849.06,37485.64,714580.06,714580.06,582617.81,453715.53,27465882,0,0,110035.71,1005723.31,1848804.62,73485200,1509368.38,14709.36,230512.75,70634.04
16_PM-37_b3_t1,PM-37,21773.81,2253720.25,247035.05,8702.61,26368.5,110708.68,0,2128.65,21829.78,84369.32,981.55,114807.25,43526.07,54567.97,255009.92,206116.02,23331.68,52175.58,161060.12,797995.31,54592.09,5560502.5,2393484.75,908648.06,101405.27,9630325,23931.93,0,44181.23,85397.49,14225.02,188120.14,279496.03,2349327,2349327,25674.93,526936.75,84992.32,77099.81,10668.93,7816.48,791.17,177922.62,2269217,2269217,21858.48,1122051.88,126069.49,45049.45,2565.45,709.53,7503.82,527832.62,1844829.38,2741090.75,195481.89,43989.28,765672.5,765672.5,704874.5,527607.81,23460258,0,0,91083.62,966793.5,2230382.75,66705868,1348977.88,14907.84,246767.64,68620.4
22_PM-37_b1_t2,PM-37,22311.74,2258269,222497.14,8841.79,16168.33,106060.79,0,2431.2,20304.2,76084.85,607.89,99700.52,44301.21,64130.38,300107.88,226284.73,26500.91,57818.16,112647.46,785624.31,52503.56,5332338,2737450.25,1041334.94,115862.2,8249025.5,27403.63,743.47,41196.56,116677.66,12254.68,251230.77,338445.97,2534899.75,2534899.75,27977.21,597675.12,99212.81,87533.52,12401.96,8273.09,516.68,161903.64,2097479,2097479,19203.6,912872.06,124200.15,36172.54,2142.33,1820.86,7045.6,562837.56,1507730.38,2668296.25,195535.42,60043.73,822811.06,822811.06,697723.69,374110,22179314,0,0,71486.02,382772.16,2210915,70799048,1356109.12,16671.45,232365.25,62412.64
28_PM-37_b2_t2,PM-37,29674.73,2771100,301369.88,9652.47,20162.22,111498.37,0,1926.77,26593.92,72151.35,528.62,117385.78,41171.5,54905.22,226342.45,219601.5,20561.09,61618.2,140557.94,651446.19,58490.77,5234894.5,2586396.25,1205198.38,113375.81,11676063,28388.99,644.8,34142.72,101980.73,12666.43,287158.25,299921.75,1638476,1638476,19051.74,378086.75,61565.01,63509.19,10472.69,9070.21,800.78,160548.62,2241341.5,2241341.5,21601.77,974059,106056.73,42250.89,2862.19,777.6,7157.63,525418.75,2128142.25,3471194.75,237060.23,35360.75,722915,722915,832423.19,456720.5,28218832,0,0,125263.88,980480.31,2171753.25,73183000,1464267.5,16939.26,251041.95,58765.13
34_PM-37_b3_t2,PM-37,24704.7,2276960.25,263594.66,6964.09,24619.7,111887.26,0,2739.13,21991.2,84236.16,587.27,116606.94,43986.2,49733.45,214824.11,203092.94,25867.72,52678.14,177813.2,815848.81,47371.88,5309853.5,3022170.25,891849.06,130752.35,9491999,25570.49,0,45844.04,81767.66,17801.91,190698.8,267322.28,2503166.75,2503166.75,25437.73,576899.88,90365.26,93759.59,11388.21,8056.95,1027.68,174342.89,2396589,2396589,20347.33,1065071.38,129348.88,43115.55,2557.65,1477.57,8085.86,529788.5,1691196.62,2917642.75,199183.88,48883.02,813355.81,813355.81,859645.81,498102.75,21591000,0,0,91387.66,1028345.56,2258661.25,73915808,1154426.12,25524.05,271548.72,57131.92
5_KO-6_b1_t1,KO-6,3791288.25,1480766,49320.54,54033.98,6030.45,15951.61,365146.72,11853.48,23866.94,110169.48,27018.53,163726.95,51334.11,4679.38,36435.05,12903.34,26249.88,5357.79,4856.6,298554.97,56385.32,1502747.38,9490347,186517.62,256197.3,4560557.5,46630.18,619.43,17957.64,70175.45,22673.62,161637.36,362930.88,1704623.12,1704623.12,15855.75,1483559.62,164884.08,73592.34,5771.38,233618.05,34811.21,137962.61,1133991,1133991,6301.75,1120560.38,112632.24,21511.03,57430.61,0,2408.99,81256.5,463796.5,515166,11985.09,74039.48,229194.95,229194.95,568788.19,74311.66,4148866.75,14905.33,7940.8,188723.86,114289.6,3719410,84993112,50720076,3306.68,1574044,44376.33
11_KO-6_b2_t1,KO-6,4427592.5,1579532.5,46611.26,57788.45,5502.89,16783.52,348697.47,13182.02,22357.81,114024.05,29660.26,162516.86,60956.25,4429.18,37971.7,16187.84,38707.43,5290.63,4549.71,327044.97,54497.31,1349035,9765196,200614.94,232925.8,4635327.5,45040.7,599.97,17196.12,81055.56,27397.83,212847.48,366330.84,1877879.88,1877879.88,16265.8,1693173.38,188563.67,84169.91,6681.61,283074.47,33434.64,136454.5,1113464.38,1113464.38,7127.94,957524.56,112590.29,17264.61,62689.17,0,1536.2,71024.16,400386.12,510644.47,12846.82,74427.54,228660,228660,695476.56,76607.92,4521991.5,16566.74,7177.9,232093.75,96026.75,3704453.75,83275536,48595584,5554.03,1594073.88,50280.8
